0.029,0.286,0.586,0.1,1003.0,
0.049,0.269,0.582,0.1,1254.0,
0.045,0.252,0.604,0.1,805.0,
0.049,0.265,0.585,0.1,799.0,
0.042,0.268,0.59,0.1,1791.0,
0.051,0.293,0.555,0.1,904.0,
0.041,0.285,0.574,0.1,1779.0,
0.048,0.299,0.554,0.1,687.0,
0.049,0.273,0.579,0.1,1346.0,
0.043,0.276,0.581,0.1,894.0,
0.044,0.26,0.595,0.1,1087.0,
0.045,0.26,0.594,0.1,1390.0,
0.073,0.28,0.546,0.1,395.0,
0.041,0.27,0.589,0.1,1828.0,
0.044,0.273,0.584,0.1,1151.0,
0.045,0.239,0.617,0.1,940.0,
0.046,0.268,0.587,0.1,1669.0,
0.035,0.279,0.586,0.1,1248.0,
0.036,0.265,0.598,0.1,1243.0,
0.029,0.283,0.588,0.1,418.0,
0.064,0.266,0.57,0.1,870.0,
0.062,0.295,0.543,0.1,587.0,
0.053,0.26,0.586,0.1,913.0,
0.055,0.259,0.586,0.1,1073.0,
0.056,0.264,0.58,0.1,1018.0,
0.047,0.247,0.606,0.1,1331.0,
0.026,0.286,0.588,0.1,892.0,
0.034,0.261,0.604,0.1,898.0,
0.048,0.269,0.583,0.1,814.0,
0.037,0.271,0.593,0.1,787.0,
0.04,0.282,0.578,0.1,1636.0,
0.043,0.266,0.591,0.1,1144.0,
0.042,0.274,0.584,0.1,1831.0,
0.043,0.259,0.598,0.1,1105.0,
0.041,0.273,0.586,0.1,749.0,
0.033,0.286,0.581,0.1,781.0,
0.034,0.293,0.573,0.1,1152.0,
0.044,0.278,0.578,0.1,868.0,
0.033,0.286,0.581,0.1,1233.0,
0.052,0.278,0.569,0.1,646.0,
0.037,0.261,0.601,0.1,863.0,
0.028,0.288,0.584,0.1,829.0,
0.033,0.265,0.602,0.1,1219.0,
0.042,0.275,0.583,0.1,880.0,
0.057,0.26,0.583,0.1,457.0,
0.047,0.293,0.56,0.1,1130.0,
0.054,0.267,0.58,0.1,819.0,
0.052,0.267,0.582,0.1,1856.0,
0.047,0.26,0.594,0.1,1216.0,
0.052,0.261,0.587,0.1,1220.0,
0.081,0.256,0.564,0.1,365.0,
0.049,0.282,0.569,0.1,957.0,
0.043,0.278,0.579,0.1,1465.0,
0.041,0.261,0.599,0.1,779.0,
0.037,0.28,0.582,0.1,1471.0,
0.048,0.255,0.597,0.1,1542.0,
0.047,0.281,0.571,0.1,668.0,
0.044,0.264,0.592,0.1,1410.0,
0.056,0.246,0.598,0.1,602.0,
0.049,0.278,0.573,0.1,1328.0,
0.044,0.283,0.572,0.1,1186.0,
0.037,0.274,0.59,0.1,1306.0,
0.027,0.292,0.581,0.1,842.0,
0.047,0.256,0.598,0.1,836.0,
0.037,0.28,0.584,0.1,1204.0,
0.047,0.288,0.565,0.1,596.0,
0.04,0.26,0.6,0.1,1283.0,
0.074,0.268,0.559,0.1,657.0,
0.057,0.272,0.571,0.1,1648.0,
0.051,0.284,0.565,0.1,683.0,
0.051,0.258,0.591,0.1,1207.0,
0.035,0.308,0.558,0.1,646.0,
0.047,0.303,0.551,0.1,696.0,
0.041,0.279,0.58,0.1,1514.0,
0.04,0.271,0.59,0.1,836.0,
0.055,0.25,0.595,0.1,963.0,
0.071,0.297,0.532,0.1,315.0,
0.067,0.25,0.583,0.1,603.0,
0.05,0.28,0.57,0.1,1459.0,
0.04,0.28,0.579,0.1,940.0,
0.041,0.292,0.567,0.1,1156.0,
0.042,0.258,0.6,0.1,473.0,
0.072,0.26,0.568,0.1,837.0,
0.049,0.283,0.568,0.1,808.0,
0.04,0.276,0.583,0.1,1660.0,
0.042,0.269,0.589,0.1,1210.0,
0.043,0.276,0.58,0.1,1306.0,
0.041,0.278,0.581,0.1,1060.0,
0.039,0.266,0.594,0.1,1470.0,
0.049,0.286,0.565,0.1,1312.0,
0.048,0.284,0.568,0.1,728.0,
0.044,0.265,0.59,0.1,992.0,
0.044,0.275,0.582,0.1,683.0,
0.044,0.278,0.579,0.1,1117.0,
0.049,0.262,0.589,0.1,906.0,
0.048,0.272,0.58,0.1,1691.0,
0.042,0.269,0.588,0.1,1067.0,
0.046,0.286,0.568,0.1,1669.0,
0.05,0.254,0.597,0.1,1207.0,
0.051,0.26,0.589,0.1,1057.0,
0.039,0.273,0.588,0.1,1409.0,
0.044,0.283,0.573,0.1,1096.0,
0.037,0.28,0.583,0.1,835.0,
0.047,0.259,0.594,0.1,635.0,
0.039,0.28,0.58,0.1,1193.0,
0.044,0.278,0.578,0.1,1143.0,
0.07,0.282,0.547,0.1,404.0,
0.032,0.264,0.604,0.1,1345.0,
0.036,0.263,0.601,0.1,1056.0,
0.052,0.253,0.596,0.1,1077.0,
0.05,0.279,0.57,0.1,1087.0,
0.04,0.284,0.575,0.1,564.0,
0.042,0.272,0.586,0.1,1147.0,
0.039,0.276,0.585,0.1,1614.0,
0.041,0.274,0.585,0.1,1287.0,
0.041,0.289,0.57,0.1,716.0,
0.043,0.26,0.597,0.1,1646.0,
0.035,0.269,0.596,0.1,1369.0,
0.054,0.278,0.567,0.1,1347.0,
0.036,0.276,0.588,0.1,1468.0,
0.044,0.299,0.557,0.1,759.0,
0.037,0.28,0.583,0.1,864.0,
0.047,0.271,0.582,0.1,1447.0,
0.038,0.267,0.595,0.1,1451.0,
0.05,0.258,0.591,0.1,980.0,
0.047,0.272,0.581,0.1,1624.0,
0.045,0.268,0.588,0.1,560.0,
0.043,0.279,0.578,0.1,1114.0,
0.05,0.281,0.569,0.1,527.0,
0.041,0.269,0.59,0.1,1379.0,
0.048,0.269,0.583,0.1,919.0,
0.044,0.271,0.584,0.1,1599.0,
0.055,0.244,0.601,0.1,1003.0,
0.041,0.283,0.576,0.1,1469.0,
0.047,0.249,0.604,0.1,873.0,
0.042,0.269,0.589,0.1,1276.0,
0.04,0.293,0.567,0.1,1019.0,
0.045,0.262,0.592,0.1,1291.0,
0.044,0.291,0.565,0.1,1006.0,
0.045,0.252,0.603,0.1,1160.0,
0.045,0.251,0.603,0.1,1154.0,
0.051,0.286,0.564,0.1,942.0,
0.053,0.267,0.58,0.1,1381.0,
0.043,0.289,0.569,0.1,1352.0,
0.039,0.268,0.593,0.1,1160.0,
0.059,0.257,0.584,0.1,751.0,
0.056,0.29,0.554,0.1,937.0,
0.046,0.287,0.567,0.1,246.0,
