

Data analysis for each instance 
AVG,MED,MAX,MIN
0.083,0.393,0.338,0.252,0.316,0.208,0.308,0.332,0.305,0.365,
0.105,0.384,0.375,0.341,0.397,0.344,0.388,0.43,0.358,0.427,
0.072,0.386,0.4,0.375,0.313,0.418,0.476,0.403,0.432,0.305,
0,0.43,0.534,0.488,0.512,0.619,0.574,0.596,0.64,0.517,
0,0.621,0.6,0.607,0.603,0.591,0.638,0.583,0.561,0.546,
0.004,0.422,0.451,0.487,0.533,0.479,0.501,0.401,0.359,0.442,
-0.061,0.362,0.463,0.347,0.372,0.39,0.435,0.412,0.45,0.411,
0.026,0.375,0.356,0.337,0.301,0.379,0.373,0.242,0.362,0.31,
0.097,0.296,0.346,0.256,0.215,0.377,0.427,0.297,0.418,0.423,
0.032,0.409,0.366,0.383,0.335,0.441,0.286,0.367,0.411,0.407,
-0.137,0.418,0.426,0.414,0.367,0.385,0.427,0.422,0.401,0.36,
0.078,0.337,0.285,0.253,0.259,0.414,0.341,0.318,0.451,0.409,
0.056,0.471,0.44,0.451,0.451,0.37,0.344,0.474,0.37,0.45,
0.08,0.313,0.304,0.334,0.204,0.411,0.419,0.309,0.356,0.315,
0.066,0.364,0.434,0.518,0.463,0.5,0.535,0.497,0.495,0.489,
0.088,0.36,0.298,0.39,0.374,0.412,0.39,0.314,0.389,0.331,
0.025,0.433,0.443,0.348,0.437,0.469,0.474,0.51,0.443,0.482,
0.063,0.49,0.388,0.441,0.409,0.487,0.634,0.599,0.602,0.557,
-0.021,0.626,0.604,0.57,0.562,0.544,0.576,0.488,0.564,0.55,
0,0.565,0.453,0.439,0.531,0.543,0.185,0.479,0.424,0.479,
0.081,0.291,0.251,0.32,0.327,0.276,0.297,0.197,0.27,0.379,
0.027,0.525,0.394,0.292,0.297,0.279,0.459,0.309,0.302,0.443,
0.023,0.411,0.45,0.368,0.465,0.412,0.508,0.384,0.363,0.364,
0.006,0.433,0.318,0.31,0.431,0.411,0.448,0.464,0.372,0.35,
0.046,0.556,0.654,0.621,0.625,0.616,0.659,0.584,0.577,0.55,
0.017,0.564,0.656,0.575,0.606,0.594,0.473,0.59,0.586,0.54,
0.019,0.356,0.271,0.342,0.396,0.322,0.246,0.383,0.237,0.369,
0.11,0.31,0.363,0.299,0.277,0.304,0.261,0.321,0.277,0.234,
0.014,0.489,0.612,0.569,0.595,0.569,0.595,0.527,0.602,0.558,
0.067,0.493,0.428,0.484,0.449,0.407,0.395,0.431,0.498,0.512,
0.033,0.536,0.549,0.447,0.475,0.507,0.51,0.508,0.483,0.502,
-0.017,0.465,0.495,0.441,0.424,0.379,0.455,0.536,0.507,0.394,
0.111,0.376,0.432,0.477,0.449,0.426,0.26,0.416,0.357,0.42,
0.05,0.444,0.503,0.418,0.521,0.49,0.332,0.387,0.393,0.528,
0.095,0.443,0.323,0.409,0.249,0.29,0.226,0.383,0.31,0.389,
0.1,0.357,0.379,0.318,0.375,0.267,0.384,0.312,0.365,0.284,
0.02,0.28,0.384,0.324,0.366,0.399,0.385,0.391,0.359,0.409,
-0.007,0.52,0.493,0.592,0.537,0.576,0.543,0.532,0.529,0.479,
0.061,0.383,0.37,0.313,0.33,0.232,0.263,0.406,0.276,0.323,
0,0.475,0.603,0.52,0.614,0.524,0.667,0.615,0.539,0.625,
0.091,0.546,0.636,0.546,0.415,0.486,0.486,0.509,0.534,0.546,
0.039,0.479,0.476,0.366,0.463,0.438,0.36,0.466,0.314,0.301,
0.049,0.399,0.345,0.318,0.371,0.367,0.424,0.375,0.379,0.385,
0.056,0.489,0.499,0.483,0.462,0.416,0.536,0.394,0.444,0.522,
0.037,0.424,0.479,0.409,0.404,0.406,0.459,0.458,0.507,0.189,
0.021,0.472,0.48,0.332,0.505,0.51,0.328,0.431,0.506,0.452,
0.025,0.355,0.454,0.399,0.418,0.412,0.415,0.409,0.44,0.37,
0.029,0.526,0.525,0.411,0.533,0.378,0.295,0.454,0.377,0.369,
0,0.624,0.615,0.575,0.581,0.609,0.543,0.53,0.537,0.572,
-0.111,0.362,0.501,0.568,0.541,0.479,0.55,0.512,0.469,0.554,
-0.063,0.528,0.469,0.464,0.468,0.47,0.604,0.502,0.526,0.551,
0.068,0.456,0.503,0.436,0.397,0.462,0.359,0.342,0.41,0.504,
-0.002,0.347,0.328,0.232,0.315,0.372,0.319,0.375,0.341,0.262,
0.074,0.459,0.458,0.445,0.377,0.468,0.406,0.366,0.401,0.377,
0.138,0.444,0.471,0.404,0.485,0.339,0.355,0.27,0.451,0.317,
0.137,0.42,0.371,0.4,0.35,0.258,0.367,0.323,0.355,0.313,
0.082,0.517,0.539,0.504,0.546,0.582,0.568,0.535,0.531,0.545,
0.011,0.326,0.416,0.274,0.285,0.362,0.258,0.396,0.287,0.394,
0.062,0.453,0.458,0.455,0.476,0.51,0.524,0.442,0.351,0.465,
0.046,0.319,0.422,0.404,0.269,0.341,0.265,0.355,0.264,0.4,
0.072,0.466,0.578,0.525,0.42,0.571,0.446,0.517,0.398,0.378,
0.021,0.359,0.38,0.304,0.346,0.502,0.302,0.286,0.386,0.369,
0.06,0.376,0.254,0.357,0.376,0.3,0.342,0.179,0.352,0.34,
0.052,0.548,0.557,0.528,0.543,0.622,0.567,0.532,0.41,0.531,
-0.06,0.602,0.547,0.584,0.43,0.358,0.515,0.538,0.503,0.603,
-0.021,0.463,0.455,0.48,0.428,0.33,0.494,0.507,0.397,0.433,
0.109,0.291,0.275,0.217,0.25,0.196,0.257,0.339,0.274,0.324,
0,0.482,0.676,0.662,0.678,0.641,0.577,0.667,0.607,0.562,
-0.038,0.472,0.483,0.298,0.41,0.479,0.439,0.406,0.427,0.353,
0.123,0.395,0.395,0.454,0.342,0.378,0.347,0.331,0.31,0.343,
0.056,0.34,0.395,0.391,0.239,0.442,0.327,0.334,0.287,0.376,
0,0.619,0.575,0.651,0.538,0.503,0.519,0.584,0.619,0.547,
-0.01,0.392,0.441,0.543,0.531,0.48,0.326,0.487,0.498,0.383,
0,0.595,0.647,0.57,0.565,0.588,0.611,0.568,0.565,0.64,
0,0.56,0.635,0.61,0.517,0.574,0.606,0.541,0.554,0.596,
0.075,0.461,0.364,0.4,0.42,0.421,0.376,0.42,0.349,0.4,
0.068,0.408,0.387,0.371,0.488,0.445,0.41,0.361,0.445,0.337,
0.071,0.377,0.36,0.406,0.314,0.364,0.24,0.363,0.334,0.362,
0.081,0.368,0.283,0.323,0.371,0.329,0.39,0.337,0.388,0.445,
0.13,0.421,0.376,0.459,0.414,0.293,0.417,0.43,0.352,0.426,
-0.027,0.637,0.635,0.545,0.633,0.578,0.573,0.537,0.594,0.579,
0.05,0.43,0.356,0.35,0.34,0.383,0.451,0.307,0.392,0.316,
0.018,0.472,0.313,0.388,0.431,0.433,0.391,0.444,0.385,0.24,
0.014,0.497,0.402,0.301,0.462,0.37,0.413,0.381,0.41,0.284,
0.008,0.363,0.47,0.357,0.376,0.239,0.34,0.411,0.367,0.386,
-0.03,0.407,0.477,0.431,0.45,0.451,0.385,0.395,0.406,0.428,
0.102,0.408,0.311,0.468,0.358,0.288,0.295,0.25,0.214,0.316,
0.129,0.395,0.461,0.354,0.27,0.411,0.423,0.368,0.392,0.466,
0.002,0.541,0.478,0.546,0.423,0.506,0.514,0.554,0.493,0.528,
0.054,0.372,0.411,0.369,0.399,0.262,0.39,0.399,0.338,0.39,
0.051,0.405,0.345,0.39,0.343,0.352,0.34,0.356,0.397,0.428,
-0.031,0.446,0.448,0.207,0.3,0.49,0.295,0.244,0.352,0.28,
0.062,0.471,0.391,0.336,0.27,0.324,0.417,0.44,0.465,0.43,
0,0.622,0.436,0.625,0.655,0.618,0.537,0.583,0.557,0.606,
0.085,0.304,0.329,0.437,0.259,0.243,0.359,0.289,0.249,0.378,
0.086,0.273,0.267,0.291,0.327,0.297,0.327,0.253,0.236,0.319,
0.026,0.506,0.453,0.477,0.462,0.431,0.359,0.477,0.349,0.447,
0.064,0.367,0.256,0.37,0.313,0.418,0.287,0.323,0.303,0.424,
-0.019,0.442,0.473,0.432,0.398,0.361,0.198,0.449,0.37,0.442,
0.027,0.34,0.249,0.31,0.34,0.26,0.219,0.173,0.313,0.293,
0.018,0.362,0.347,0.387,0.276,0.22,0.283,0.267,0.304,0.443,
-0.005,0.42,0.391,0.364,0.369,0.297,0.452,0.349,0.274,0.394,
0.038,0.479,0.393,0.419,0.356,0.148,0.469,0.438,0.332,0.496,
0.091,0.463,0.464,0.367,0.42,0.403,0.44,0.414,0.376,0.456,
0.068,0.316,0.274,0.26,0.136,0.283,0.298,0.228,0.303,0.292,
0.049,0.337,0.391,0.451,0.471,0.359,0.283,0.265,0.311,0.297,
0.102,0.319,0.334,0.33,0.335,0.284,0.232,0.282,0.249,0.334,
0.065,0.477,0.384,0.418,0.463,0.368,0.345,0.429,0.365,0.305,
0.079,0.405,0.406,0.364,0.492,0.41,0.301,0.4,0.491,0.572,
0.061,0.49,0.533,0.521,0.415,0.381,0.464,0.494,0.46,0.377,
0.093,0.504,0.491,0.529,0.545,0.483,0.517,0.588,0.62,0.61,
0.107,0.421,0.413,0.304,0.463,0.439,0.383,0.399,0.388,0.349,
0.071,0.404,0.317,0.456,0.278,0.333,0.318,0.301,0.287,0.331,
-0.083,0.47,0.576,0.578,0.5,0.577,0.616,0.502,0.527,0.523,
0.046,0.556,0.509,0.418,0.358,0.467,0.461,0.539,0.558,0.517,
0.039,0.578,0.625,0.672,0.583,0.595,0.569,0.582,0.592,0.561,
0.013,0.458,0.452,0.388,0.417,0.459,0.495,0.334,0.384,0.476,
0,0.604,0.642,0.63,0.556,0.618,0.436,0.494,0.593,0.53,
0.116,0.542,0.579,0.468,0.413,0.46,0.437,0.388,0.487,0.454,
0.056,0.347,0.409,0.343,0.311,0.451,0.39,0.348,0.379,0.348,
0.058,0.521,0.473,0.477,0.511,0.475,0.284,0.282,0.435,0.371,
0.075,0.542,0.45,0.521,0.482,0.466,0.318,0.449,0.477,0.38,
0.002,0.308,0.275,0.386,0.303,0.323,0.379,0.31,0.36,0.3,
0.018,0.419,0.422,0.417,0.501,0.412,0.395,0.406,0.35,0.373,
0,0.631,0.612,0.6,0.61,0.566,0.555,0.594,0.555,0.576,
-0.075,0.337,0.36,0.475,0.547,0.443,0.558,0.426,0.471,0.564,
0.092,0.377,0.281,0.39,0.312,0.364,0.318,0.264,0.282,0.308,
0.021,0.6,0.545,0.603,0.567,0.584,0.504,0.555,0.63,0.577,
0.089,0.482,0.461,0.457,0.292,0.342,0.373,0.38,0.404,0.385,
0.112,0.679,0.608,0.571,0.589,0.593,0.525,0.67,0.619,0.597,
0.086,0.525,0.418,0.388,0.496,0.411,0.41,0.501,0.322,0.449,
0.082,0.418,0.444,0.435,0.487,0.382,0.401,0.385,0.344,0.335,
0.059,0.397,0.349,0.323,0.371,0.281,0.382,0.312,0.377,0.337,
0.12,0.326,0.381,0.34,0.345,0.373,0.276,0.333,0.285,0.401,
0.062,0.596,0.612,0.571,0.618,0.561,0.545,0.499,0.596,0.471,
0.116,0.413,0.4,0.464,0.374,0.459,0.393,0.432,0.34,0.373,
0.09,0.333,0.3,0.346,0.324,0.29,0.301,0.203,0.252,0.322,
0.046,0.498,0.504,0.436,0.536,0.476,0.421,0.488,0.529,0.369,
0.066,0.393,0.374,0.376,0.465,0.406,0.393,0.263,0.253,0.355,
0.044,0.414,0.422,0.305,0.435,0.403,0.366,0.376,0.371,0.393,
0.017,0.534,0.573,0.588,0.573,0.385,0.449,0.398,0.36,0.372,
0.129,0.425,0.496,0.47,0.382,0.444,0.336,0.384,0.432,0.426,
0.086,0.485,0.305,0.42,0.441,0.299,0.449,0.481,0.41,0.492,
0.054,0.376,0.414,0.302,0.309,0.192,0.332,0.33,0.332,0.267,
0.006,0.532,0.553,0.567,0.653,0.528,0.594,0.604,0.574,0.568,
0.012,0.495,0.522,0.415,0.37,0.43,0.432,0.346,0.397,0.428,
0.08,0.466,0.404,0.465,0.397,0.411,0.565,0.548,0.494,0.542,
0.039,0.495,0.533,0.465,0.49,0.52,0.446,0.474,0.404,0.47,
-0.042,0.436,0.586,0.473,0.466,0.361,0.429,0.449,0.519,0.504,
0.045,0.374,0.288,0.271,0.218,0.325,0.364,0.306,0.317,0.343,
0.046,0.522,0.56,0.441,0.554,0.513,0.549,0.614,0.545,0.522,
0.084,0.344,0.333,0.359,0.288,0.367,0.278,0.283,0.314,0.295,
0,0.636,0.612,0.59,0.538,0.574,0.596,0.573,0.518,0.591,
0.067,0.317,0.227,0.362,0.326,0.392,0.341,0.258,0.302,0.354,
0.093,0.433,0.398,0.429,0.364,0.364,0.327,0.423,0.311,0.247,
0.052,0.444,0.372,0.487,0.378,0.348,0.399,0.362,0.499,0.421,
0.089,0.431,0.264,0.318,0.438,0.412,0.332,0.444,0.453,0.325,
0.076,0.391,0.261,0.428,0.291,0.25,0.492,0.39,0.374,0.372,
0.017,0.512,0.497,0.47,0.487,0.474,0.419,0.472,0.233,0.544,
0.08,0.456,0.416,0.339,0.38,0.316,0.263,0.415,0.361,0.368,
0.057,0.462,0.368,0.509,0.399,0.407,0.452,0.445,0.374,0.548,
0.065,0.271,0.317,0.295,0.255,0.366,0.325,0.311,0.322,0.312,
0.027,0.392,0.382,0.339,0.364,0.27,0.32,0.382,0.348,0.361,
0.084,0.405,0.395,0.435,0.475,0.427,0.42,0.334,0.324,0.395,
0.066,0.357,0.445,0.324,0.434,0.413,0.482,0.341,0.395,0.5,
0.083,0.37,0.38,0.381,0.403,0.344,0.31,0.367,0.457,0.37,
0,0.433,0.526,0.387,0.427,0.455,0.507,0.477,0.527,0.483,
0.129,0.394,0.336,0.389,0.317,0.294,0.25,0.388,0.237,0.401,
0.133,0.423,0.4,0.383,0.457,0.417,0.334,0.276,0.319,0.414,
0.138,0.397,0.372,0.296,0.416,0.329,0.453,0.402,0.262,0.283,
0.038,0.253,0.358,0.355,0.303,0.31,0.389,0.285,0.256,0.211,
0.081,0.429,0.548,0.343,0.358,0.358,0.337,0.408,0.311,0.391,
0.041,0.326,0.384,0.396,0.457,0.404,0.305,0.432,0.436,0.46,
0.042,0.315,0.419,0.481,0.263,0.378,0.26,0.324,0.352,0.489,
0.07,0.325,0.223,0.285,0.324,0.299,0.289,0.312,0.282,0.266,
0.075,0.367,0.448,0.483,0.458,0.416,0.432,0.298,0.492,0.437,
0.092,0.338,0.275,0.281,0.233,0.139,0.296,0.175,0.096,0.226,
0.049,0.411,0.488,0.409,0.296,0.448,0.448,0.593,0.521,0.568,
0.065,0.56,0.541,0.54,0.507,0.573,0.587,0.546,0.551,0.524,
0,0.664,0.663,0.545,0.618,0.594,0.6,0.573,0.532,0.611,
0.085,0.357,0.38,0.254,0.448,0.408,0.296,0.379,0.391,0.364,
0.003,0.471,0.518,0.49,0.442,0.487,0.366,0.39,0.419,0.432,
0.116,0.428,0.509,0.467,0.475,0.298,0.345,0.411,0.319,0.381,
0.061,0.376,0.382,0.329,0.397,0.401,0.341,0.357,0.417,0.42,
0.022,0.536,0.277,0.61,0.581,0.448,0.375,0.463,0.36,0.485,
0.082,0.386,0.305,0.322,0.327,0.335,0.357,0.339,0.374,0.51,
-0.045,0.512,0.535,0.425,0.435,0.526,0.466,0.546,0.515,0.53,
0.011,0.505,0.401,0.31,0.472,0.325,0.365,0.443,0.471,0.467,
