

Data analysis for each instance 
AVG,MED,MAX,MIN
0.365,0.499,0.414,0.386,0.359,0.457,0.648,0.354,0.738,0.33,0.392,0.347,0.503,0.584,0.258,0.365,0.367,0.262,0.218,0.22,0.905,0.921,0.936,0.943,0.947,0.936,0.892,0.896,0.915,0.956,0.748,0.932,0.95,0.498,0.866,0.467,0.784,0.314,0.172,0.146,
0.5,0.557,0.401,0.985,0.494,0.707,0.581,0.71,0.368,0.667,0.472,0.988,0.33,0.217,0.556,0.724,0.572,0.38,0.259,0.399,0.448,0.12,0.282,0.108,0.137,0.217,0.168,0.123,0.057,0.233,0.995,1,0.858,0.847,0.827,0.815,0.841,0.811,0.841,0.79,
1,0.672,0.766,0.546,0.699,0.547,0.523,0.758,0.508,0.682,0.09,0.284,0.064,0.964,0.238,0.056,0.051,0.394,0.041,0.037,0.857,0.67,0.64,0.561,0.257,0.178,0.168,0.155,0.17,0.162,0.889,0.186,0.265,0.256,0.088,0.08,0.159,0.08,0.063,0.068,
0.694,0.479,0.733,0.636,0.764,0.632,0.705,0.763,0.773,0.626,0.676,0.177,0.632,0.283,0.246,0.279,0.294,0.217,0.119,0.148,0.82,0.678,0.606,0.288,0.516,0.273,0.178,0.516,0.277,0.177,1,0.612,0.612,0.549,0.549,0.549,0.549,0.549,0.549,0.549,
0.476,0.678,0.549,0.81,0.334,0.921,0.337,0.359,0.435,0.43,0.893,0.753,0.793,0.707,0.653,0.706,0.41,0.778,0.595,0.57,0.867,0.614,0.557,0.81,0.633,0.46,0.802,0.57,0.66,0.476,0.861,0.443,0.187,0.363,0.168,0.1,0.08,0.091,0.083,0.074,
0.744,0.888,0.642,0.48,0.715,0.727,0.658,0.512,0.726,0.765,0.936,0.863,0.829,0.738,0.739,0.948,0.956,0.673,0.834,0.759,0.907,0.82,0.809,0.89,0.774,0.694,0.746,0.684,0.676,0.756,0.884,0.887,0.643,0.554,0.594,0.47,0.517,0.33,0.336,0.335,
0.275,0.846,0.387,0.466,0.63,0.42,0.505,0.505,0.373,0.441,0.902,0.977,0.811,0.842,0.865,0.797,0.955,0.814,0.883,0.745,0.923,0.817,0.858,0.791,0.84,0.922,0.65,0.484,0.46,0.462,0.032,0.381,0.58,0.445,0.031,0.182,0.015,0.035,0.009,0.006,
0.479,0.566,0.879,0.449,0.616,0.631,0.37,0.298,0.557,0.319,0.456,0.519,0.768,0.456,0.492,0.515,0.495,0.631,0.443,0.532,0.84,0.904,0.844,0.863,0.947,0.921,0.833,0.821,0.767,0.797,0.805,0.78,0.757,0.49,0.32,0.306,0.32,0.318,0.32,0.308,
1,0.762,0.76,0.601,0.867,0.863,0.774,0.781,0.643,0.773,1,0.735,0.764,0.95,0.569,0.936,0.734,0.671,0.564,0.384,0.991,0.747,0.806,0.815,0.53,0.488,0.487,0.486,0.397,0.502,0.904,0.507,0.497,0.375,0.182,0.182,0.325,0.179,0.1,0.093,
0.988,0.762,0.915,0.552,0.726,0.898,0.75,0.741,0.43,0.788,0.932,0.823,0.677,0.611,0.567,0.539,0.518,0.587,0.54,0.54,0.942,0.29,0.552,0.174,0.575,0.175,0.571,0.142,0.083,0.083,0.955,0.38,0.364,0.371,0.138,0.096,0.08,0.071,0.071,0.074,
