

Data analysis for each instance 
AVG,MED,MAX,MIN
0.418,0.42,0.946,0.351,


0.401,0.402,0.962,0.357,


0.383,0.382,1,0.382,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.418,0.418,0.418,0.418,
MEDs,0.42,0.42,0.42,0.42,
MAXs,0.946,0.946,0.946,0.946,
MINs,0.351,0.351,0.351,0.351,


AVGs,0.401,0.401,0.401,0.401,
MEDs,0.402,0.402,0.402,0.402,
MAXs,0.962,0.962,0.962,0.962,
MINs,0.357,0.357,0.357,0.357,


AVGs,0.383,0.383,0.383,0.383,
MEDs,0.382,0.382,0.382,0.382,
MAXs,1,1,1,1,
MEDs,0.382,0.382,0.382,0.382,



