

Data analysis for each instance 
AVG,MED,MAX,MIN
0.301,0.299,0.946,0.299,


0.303,0.302,0.962,0.302,


0.316,0.315,1,0.315,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.301,0.301,0.301,0.301,
MEDs,0.299,0.299,0.299,0.299,
MAXs,0.946,0.946,0.946,0.946,
MEDs,0.299,0.299,0.299,0.299,


AVGs,0.303,0.303,0.303,0.303,
MEDs,0.302,0.302,0.302,0.302,
MAXs,0.962,0.962,0.962,0.962,
MEDs,0.302,0.302,0.302,0.302,


AVGs,0.316,0.316,0.316,0.316,
MEDs,0.315,0.315,0.315,0.315,
MAXs,1,1,1,1,
MEDs,0.315,0.315,0.315,0.315,



