

Data analysis for each instance 
AVG,MED,MAX,MIN
19003.933,19259,28911,18412,


18505.533,18508,29387,17125,


19217.783,19202.5,30552,18322,




Further Data analysis of all test cases 
avg med max min 
AVGs,19003.933,19003.933,19003.933,19003.933,
MEDs,19259,19259,19259,19259,
MAXs,28911,28911,28911,28911,
MINs,18412,18412,18412,18412,


AVGs,18505.533,18505.533,18505.533,18505.533,
MEDs,18508,18508,18508,18508,
MAXs,29387,29387,29387,29387,
MINs,17125,17125,17125,17125,


AVGs,19217.783,19217.783,19217.783,19217.783,
MEDs,19202.5,19202.5,19202.5,19202.5,
MAXs,30552,30552,30552,30552,
MINs,18322,18322,18322,18322,



