

Data analysis for each instance 
AVG,MED,MAX,MIN
0.622,0.63,0.946,0.603,


0.606,0.606,0.962,0.561,


0.629,0.629,1,0.6,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.622,0.622,0.622,0.622,
MEDs,0.63,0.63,0.63,0.63,
MAXs,0.946,0.946,0.946,0.946,
MINs,0.603,0.603,0.603,0.603,


AVGs,0.606,0.606,0.606,0.606,
MEDs,0.606,0.606,0.606,0.606,
MAXs,0.962,0.962,0.962,0.962,
MINs,0.561,0.561,0.561,0.561,


AVGs,0.629,0.629,0.629,0.629,
MEDs,0.629,0.629,0.629,0.629,
MAXs,1,1,1,1,
MINs,0.6,0.6,0.6,0.6,



