

Data analysis for each instance 
AVG,MED,MAX,MIN
3953.229,3956,9640,3374,


3342.901,3330,9800,3330,


3602.572,3598,10186,3482,




Further Data analysis of all test cases 
avg med max min 
AVGs,3953.229,3953.229,3953.229,3953.229,
MEDs,3956,3956,3956,3956,
MAXs,9640,9640,9640,9640,
MINs,3374,3374,3374,3374,


AVGs,3342.901,3342.901,3342.901,3342.901,
MEDs,3330,3330,3330,3330,
MAXs,9800,9800,9800,9800,
MEDs,3330,3330,3330,3330,


AVGs,3602.572,3602.572,3602.572,3602.572,
MEDs,3598,3598,3598,3598,
MAXs,10186,10186,10186,10186,
MINs,3482,3482,3482,3482,



