

Data analysis for each instance 
AVG,MED,MAX,MIN
12370.916,12462,22487,11411,


10596.565,10583,22858,10501,


11682.591,11622,23763,11579,




Further Data analysis of all test cases 
avg med max min 
AVGs,12370.916,12370.916,12370.916,12370.916,
MEDs,12462,12462,12462,12462,
MAXs,22487,22487,22487,22487,
MINs,11411,11411,11411,11411,


AVGs,10596.565,10596.565,10596.565,10596.565,
MEDs,10583,10583,10583,10583,
MAXs,22858,22858,22858,22858,
MINs,10501,10501,10501,10501,


AVGs,11682.591,11682.591,11682.591,11682.591,
MEDs,11622,11622,11622,11622,
MAXs,23763,23763,23763,23763,
MINs,11579,11579,11579,11579,



