1.0,0.809,0.738,0.759,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,0.729,0.757,
1.0,0.807,0.758,0.751,0.75,0.75,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,
0.935,0.748,0.717,0.693,0.709,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,0.708,0.691,
1.0,0.801,0.755,0.749,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,0.748,0.746,
0.919,0.758,0.7,0.685,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,0.684,0.688,
0.981,0.807,0.776,0.74,0.749,0.76,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,0.753,0.759,
0.941,0.778,0.716,0.708,0.706,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,
0.938,0.765,0.712,0.702,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,
1.0,0.815,0.753,0.745,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,
0.942,0.747,0.687,0.671,0.637,0.697,0.677,0.661,0.683,0.694,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,
