

Data analysis for each instance 
AVG,MED,MAX,MIN
0.521,0.524,0.946,0.48,


0.446,0.445,0.962,0.442,


0.492,0.489,1,0.487,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.521,0.521,0.521,0.521,
MEDs,0.524,0.524,0.524,0.524,
MAXs,0.946,0.946,0.946,0.946,
MINs,0.48,0.48,0.48,0.48,


AVGs,0.446,0.446,0.446,0.446,
MEDs,0.445,0.445,0.445,0.445,
MAXs,0.962,0.962,0.962,0.962,
MINs,0.442,0.442,0.442,0.442,


AVGs,0.492,0.492,0.492,0.492,
MEDs,0.489,0.489,0.489,0.489,
MAXs,1,1,1,1,
MINs,0.487,0.487,0.487,0.487,



