

Data analysis for each instance 
AVG,MED,MAX,MIN
0.445,0.446,0.946,0.374,


0.407,0.409,0.962,0.367,


0.413,0.412,1,0.412,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.445,0.445,0.445,0.445,
MEDs,0.446,0.446,0.446,0.446,
MAXs,0.946,0.946,0.946,0.946,
MINs,0.374,0.374,0.374,0.374,


AVGs,0.407,0.407,0.407,0.407,
MEDs,0.409,0.409,0.409,0.409,
MAXs,0.962,0.962,0.962,0.962,
MINs,0.367,0.367,0.367,0.367,


AVGs,0.413,0.413,0.413,0.413,
MEDs,0.412,0.412,0.412,0.412,
MAXs,1,1,1,1,
MEDs,0.412,0.412,0.412,0.412,



