1.0,0.738,0.677,0.653,0.723,0.623,0.727,0.664,0.689,0.691,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,0.687,0.692,
1.0,0.736,0.698,0.693,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,
0.928,0.686,0.655,0.634,0.648,0.636,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,0.643,0.633,
1.0,0.733,0.684,0.666,0.64,0.622,0.655,0.661,0.653,0.647,0.639,0.666,0.662,0.659,0.662,0.662,0.65,0.654,0.635,0.624,0.615,0.636,0.657,0.667,0.666,0.666,0.659,0.65,0.658,0.643,0.643,0.664,0.677,0.666,0.652,0.663,0.651,0.642,0.655,0.644,0.66,0.66,0.665,0.66,0.658,0.666,0.665,0.678,0.659,0.662,0.658,0.661,0.664,0.653,0.662,0.653,0.657,0.644,0.657,0.643,0.643,0.664,0.677,0.666,0.652,0.663,0.651,0.642,0.655,0.644,0.66,0.66,0.665,0.66,0.658,0.666,0.665,0.678,0.659,0.662,0.658,0.661,0.664,0.653,0.662,0.653,0.657,0.644,0.657,0.643,0.643,0.664,0.677,0.666,0.652,0.663,0.651,0.642,0.655,0.644,
0.935,0.695,0.65,0.647,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,0.638,0.639,

0.972,0.715,0.676,0.671,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,
0.983,0.725,0.686,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,
1.0,0.741,0.694,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,
0.861,0.635,0.601,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,
