

Data analysis for each instance 
AVG,MED,MAX,MIN
7549.098,7572,16064,6352,


6904.262,6942,16328,6234,


7017.738,7002,16976,7002,




Further Data analysis of all test cases 
avg med max min 
AVGs,7549.098,7549.098,7549.098,7549.098,
MEDs,7572,7572,7572,7572,
MAXs,16064,16064,16064,16064,
MINs,6352,6352,6352,6352,


AVGs,6904.262,6904.262,6904.262,6904.262,
MEDs,6942,6942,6942,6942,
MAXs,16328,16328,16328,16328,
MINs,6234,6234,6234,6234,


AVGs,7017.738,7017.738,7017.738,7017.738,
MEDs,7002,7002,7002,7002,
MAXs,16976,16976,16976,16976,
MEDs,7002,7002,7002,7002,



