

Data analysis for each instance 
AVG,MED,MAX,MIN
0.567,0.566,0.946,0.546,


0.542,0.541,0.962,0.49,


0.531,0.538,1,0.51,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.567,0.567,0.567,0.567,
MEDs,0.566,0.566,0.566,0.566,
MAXs,0.946,0.946,0.946,0.946,
MINs,0.546,0.546,0.546,0.546,


AVGs,0.542,0.542,0.542,0.542,
MEDs,0.541,0.541,0.541,0.541,
MAXs,0.962,0.962,0.962,0.962,
MINs,0.49,0.49,0.49,0.49,


AVGs,0.531,0.531,0.531,0.531,
MEDs,0.538,0.538,0.538,0.538,
MAXs,1,1,1,1,
MINs,0.51,0.51,0.51,0.51,



