

Data analysis for each instance 
AVG,MED,MAX,MIN
0.388,0.388,0.946,0.331,


0.328,0.327,0.962,0.327,


0.353,0.353,1,0.342,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.388,0.388,0.388,0.388,
MEDs,0.388,0.388,0.388,0.388,
MAXs,0.946,0.946,0.946,0.946,
MINs,0.331,0.331,0.331,0.331,


AVGs,0.328,0.328,0.328,0.328,
MEDs,0.327,0.327,0.327,0.327,
MAXs,0.962,0.962,0.962,0.962,
MEDs,0.327,0.327,0.327,0.327,


AVGs,0.353,0.353,0.353,0.353,
MEDs,0.353,0.353,0.353,0.353,
MAXs,1,1,1,1,
MINs,0.342,0.342,0.342,0.342,



