0.0,0.235,0.254,0.32,0.242,0.276,0.287,0.292,0.287,0.288,
0.0,0.32,0.368,0.356,0.307,0.284,0.342,0.371,0.295,0.377,
0.0,0.325,0.356,0.372,0.397,0.399,0.37,0.381,0.338,0.391,
0.0,0.439,0.575,0.595,0.475,0.549,0.567,0.553,0.588,0.591,
0.0,0.514,0.445,0.57,0.505,0.589,0.613,0.576,0.588,0.574,
0.0,0.36,0.36,0.381,0.353,0.413,0.424,0.416,0.362,0.435,
0.0,0.332,0.326,0.389,0.365,0.337,0.421,0.363,0.391,0.409,
0.0,0.192,0.285,0.244,0.352,0.272,0.254,0.323,0.212,0.302,
0.0,0.296,0.282,0.269,0.239,0.278,0.294,0.274,0.304,0.28,
0.0,0.308,0.373,0.372,0.385,0.419,0.452,0.451,0.345,0.377,
0.0,0.335,0.374,0.305,0.371,0.366,0.387,0.406,0.383,0.381,
0.0,0.403,0.449,0.402,0.29,0.401,0.247,0.361,0.367,0.406,
0.0,0.414,0.386,0.35,0.365,0.405,0.398,0.373,0.437,0.429,
0.0,0.367,0.236,0.355,0.269,0.321,0.24,0.289,0.241,0.345,
0.0,0.325,0.287,0.281,0.372,0.484,0.501,0.425,0.492,0.509,
0.0,0.206,0.299,0.27,0.314,0.304,0.205,0.253,0.3,0.302,
0.0,0.425,0.411,0.438,0.442,0.49,0.492,0.525,0.529,0.543,
0.0,0.51,0.498,0.515,0.527,0.503,0.498,0.534,0.557,0.591,
0.0,0.607,0.61,0.534,0.506,0.528,0.56,0.54,0.55,0.541,
0.0,0.351,0.461,0.442,0.524,0.524,0.531,0.434,0.498,0.493,
0.0,0.194,0.229,0.225,0.044,0.189,0.263,0.291,0.231,0.174,
0.0,0.372,0.383,0.336,0.397,0.36,0.401,0.412,0.445,0.413,
0.0,0.433,0.449,0.51,0.439,0.468,0.394,0.438,0.409,0.459,
0.0,0.346,0.291,0.367,0.284,0.322,0.357,0.355,0.391,0.33,
0.0,0.399,0.481,0.51,0.478,0.536,0.564,0.549,0.537,0.575,
0.0,0.522,0.532,0.513,0.516,0.516,0.543,0.516,0.522,0.551,
0.0,0.316,0.377,0.305,0.141,0.255,0.341,0.278,0.312,0.354,
0.0,0.254,0.229,0.277,0.275,0.308,0.273,0.215,0.254,0.253,
0.0,0.533,0.54,0.55,0.569,0.534,0.52,0.532,0.601,0.515,
0.0,0.334,0.36,0.358,0.361,0.372,0.415,0.421,0.425,0.42,
0.0,0.468,0.488,0.471,0.471,0.472,0.408,0.438,0.413,0.47,
0.0,0.431,0.378,0.406,0.364,0.424,0.426,0.397,0.425,0.46,
0.0,0.497,0.411,0.293,0.425,0.377,0.359,0.434,0.427,0.442,
0.0,0.455,0.468,0.474,0.44,0.417,0.443,0.427,0.493,0.445,
0.0,0.301,0.293,0.361,0.329,0.335,0.434,0.334,0.321,0.268,
0.0,0.214,0.255,0.221,0.219,0.236,0.186,0.289,0.242,0.276,
0.0,0.4,0.306,0.391,0.374,0.434,0.436,0.357,0.37,0.404,
0.0,0.537,0.537,0.554,0.543,0.576,0.531,0.52,0.538,0.539,
0.0,0.275,0.318,0.318,0.271,0.356,0.329,0.349,0.337,0.337,
0.0,0.523,0.581,0.5,0.502,0.536,0.545,0.514,0.538,0.571,
