76331,12000,1.59
76090,12000,1.585
75722,12000,1.577
75488,12000,1.572
75114,12000,1.565
72594,12000,1.512
72349,12000,1.507
71984,12000,1.499
71744,12000,1.494
71377,12000,1.487
70069,12000,1.46
69461,12000,1.447
69084,12000,1.439
68870,12000,1.434
68612,12000,1.429
68246,12000,1.422
68101,12000,1.418
68002,12000,1.417
67552,12000,1.407
66563,12000,1.386
65720,12000,1.369
65577,12000,1.366
65481,12000,1.364
65116,12000,1.356
64875,12000,1.351
64272,12000,1.339
62690,12000,1.306
62227,12000,1.296
61981,12000,1.291
61620,12000,1.283
61374,12000,1.278
61006,12000,1.271
59090,12000,1.231
58484,12000,1.218
58242,12000,1.213
57872,12000,1.206
57633,12000,1.201
57506,12000,1.198
57030,12000,1.188
56782,9000,1.577
56257,9000,1.562
55801,9000,1.55
55636,12000,1.159
55352,12000,1.153
55114,12000,1.148
54749,12000,1.14
54653,12000,1.138
54503,12000,1.135
53896,12000,1.123
53662,12000,1.118
53453,9000,1.484
53111,12000,1.106
52994,9000,1.472
52535,9000,1.459
52126,12000,1.086
51611,12000,1.075
51376,12000,1.07
51108,9000,1.419
51101,12000,1.064
51006,12000,1.062
50769,12000,1.057
50651,9000,1.407
50402,12000,1.05
50190,9000,1.394
48302,9000,1.341
48117,12000,1.002
47876,12000,0.997
47571,9000,1.321
47265,12000,0.985
46661,12000,0.972
45687,12000,0.952
45676,9000,1.268
45222,9000,1.256
44981,12000,0.937
44762,9000,1.243
44746,12000,0.932
44703,12000,0.931
44381,12000,0.924
44137,12000,0.919
43717,12000,0.911
43528,12000,0.907
43331,9000,1.203
42875,9000,1.191
42739,12000,0.89
42418,9000,1.178
41243,12000,0.859
41005,12000,0.854
40636,12000,0.846
40529,9000,1.125
40450,12000,0.842
40400,12000,0.841
40067,9000,1.113
38249,9000,1.062
37967,12000,0.791
37723,9000,1.047
37505,12000,0.781
37391,6000,1.557
37266,9000,1.035
37265,12000,0.776
37086,6000,1.545
36898,12000,0.768
36656,12000,0.763
36051,12000,0.751
35556,9000,0.987
35520,6000,1.479
35219,6000,1.467
35098,9000,0.975
34641,9000,0.962
34377,12000,0.716
33767,12000,0.703
33656,6000,1.402
33528,12000,0.698
33347,6000,1.389
33272,9000,0.924
33158,12000,0.691
33148,6000,1.381
32749,9000,0.909
32656,6000,1.36
32293,9000,0.897
32079,6000,1.336
31902,6000,1.329
30875,12000,0.643
30687,6000,1.278
30637,12000,0.638
30340,6000,1.263
30269,12000,0.63
30036,6000,1.251
30028,12000,0.625
29948,9000,0.831
