4422,700,3869,17292,8078
7742,12909,8467,60691,73104
1309,3003,39642,57101,18407
4387,13841,30957,29879,18877
407,2018,46857,60437,80851
5345,1351,789,42831,12946
34626,13486,1156,19194,128083
8383,1929,30642,57501,83767
2158,9531,6556,13503,2328
2851,3887,41199,16768,24953
1523,5907,15187,3874,20183
7244,6228,1606,1605,12660
646,17823,9236,16375,10252
3141,1982,21362,4187,27323
2592,3328,4877,2323,12811
6454,15677,26903,35749,17783
10080,9426,13579,4534,3088
12539,16823,81241,11703,25478
8504,15980,7717,44771,77373
5226,747,27196,14799,30674
1245,20355,5700,3388,43846
2221,4332,31473,35411,30716
121,2027,8801,37095,49518
1451,4026,11700,21673,40220
1045,3699,7621,1712,6061
16549,627,4151,7315,9493
2781,27982,7357,5420,4667
2576,4655,1540,18281,7072
7286,3132,7924,3699,15328
4295,660,4764,9311,22271
11161,7340,78238,35387,92070
9266,3938,12872,39210,19725
29769,74129,13819,76295,81246
11294,11319,192287,68078,47014
4148,2550,30245,6763,9118
578,2208,33448,12786,6371
1695,6845,12284,1087,19903
6253,9454,7565,6921,4168
16984,913,13383,21471,28195
2675,3477,12674,7756,17622
3625,2987,22898,1275,1864
8732,2010,56180,26127,18495
4129,5427,5374,12267,23088
2334,5299,2073,2597,4709
3849,667,7384,21349,4029
3675,2707,10661,16117,21313
15323,10481,4620,8955,22782
1059,4245,45479,95124,27336
1080,16645,26301,7660,406
1300,37964,7387,44356,36913
2560,20123,22856,8882,8079
6725,13819,7574,65648,33157
456,22106,15660,4580,11305
2943,14187,3101,86147,65973
413,13640,5546,11544,6403
8142,4163,4873,7466,32334
4587,18701,944,39701,4059
11404,22030,3574,14697,24544
3193,26341,17071,23658,27837
20822,765,33171,13335,32892
2632,4358,3922,2295,24097
749,2885,4513,18248,8602
12979,26476,34096,47519,53099
2716,5753,6047,437,17135
475,9288,32729,62757,8262
17258,8886,14724,23815,17187
6841,4388,6038,492,24800
1122,12224,38331,12286,9883
9092,3821,27097,22972,76154
224,7803,11688,377,1828
2748,23615,51316,27397,74641
1282,8678,32020,31245,22259
602,12082,1402,6117,11039
2834,8086,12159,4592,16980
9426,3688,7461,6490,14954
4943,276,34862,1867,23918
1794,10025,32216,17364,13032
447,14414,14593,21522,7470
45519,6583,8732,16432,21466
24683,12426,1286,6766,3761
2824,5007,4334,56991,5388
9428,3814,13213,21181,2893
973,10516,8645,6105,12835
4476,2157,17186,4113,23656
7476,6794,7804,22704,48981
354,6808,4401,68195,40111
9985,9060,1326,7677,17297
17951,15055,4787,5889,45832
5011,8074,2424,1224,713
32198,19720,15570,52693,34815
7598,2305,834,13144,7151
9544,3170,29941,2406,5769
