

Data analysis for each instance 
AVG,MED,MAX,MIN
0.563,0.511,1,0.458,


0.498,0.467,0.804,0.36,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.563,0.563,0.563,0.563,
MEDs,0.511,0.511,0.511,0.511,
MAXs,1,1,1,1,
MINs,0.458,0.458,0.458,0.458,


AVGs,0.498,0.498,0.498,0.498,
MEDs,0.467,0.467,0.467,0.467,
MAXs,0.804,0.804,0.804,0.804,
MINs,0.36,0.36,0.36,0.36,



