1.0,0.978,0.97,0.968,0.969,0.968,0.969,0.968,0.969,0.968,1.0,0.951,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,
0.977,0.954,0.944,0.943,0.943,0.943,0.943,0.943,0.943,0.943,1.0,0.952,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,
1.0,0.969,0.963,0.962,0.962,0.962,0.962,0.962,0.962,0.962,1.0,0.951,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,
0.798,0.854,0.841,0.841,0.841,0.841,0.841,0.841,0.841,0.841,0.954,0.866,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862,
1.0,0.976,0.969,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.992,0.944,0.941,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
0.974,0.945,0.934,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.985,0.926,0.922,0.921,0.921,0.921,0.921,0.921,0.921,0.921,
0.975,0.946,0.941,0.94,0.94,0.94,0.94,0.94,0.94,0.94,1.0,0.958,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,
0.966,0.943,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,1.0,0.954,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,
0.952,0.928,0.92,0.919,0.919,0.919,0.919,0.919,0.919,0.919,1.0,0.943,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
0.897,0.876,0.87,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.987,0.944,0.94,0.939,0.939,0.939,0.939,0.939,0.939,0.939,
0.843,0.816,0.81,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.971,0.926,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,
0.953,0.918,0.911,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.0,0.947,0.943,0.942,0.942,0.942,0.942,0.942,0.942,0.942,
0.976,0.951,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,1.0,0.944,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
1.0,0.969,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.975,0.926,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,
0.98,0.951,0.946,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.956,0.916,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,
0.908,0.883,0.877,0.876,0.876,0.876,0.876,0.876,0.876,0.876,1.0,0.955,0.954,0.953,0.953,0.953,0.953,0.953,0.953,0.953,
0.839,0.998,1.0,0.999,0.999,0.999,0.999,0.999,0.999,0.999,1.0,0.958,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,
0.951,0.92,0.914,0.913,0.913,0.913,0.913,0.913,0.913,0.913,1.0,0.956,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,
1.0,0.967,0.961,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.0,0.951,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,
1.0,0.965,0.958,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.967,0.92,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,
0.801,0.782,0.776,0.775,0.775,0.775,0.775,0.775,0.775,0.775,1.0,0.955,0.951,0.95,0.95,0.95,0.95,0.95,0.95,0.95,
0.915,0.886,0.879,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.903,0.861,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,
1.0,0.959,0.952,0.952,0.951,0.952,0.951,0.952,0.951,0.952,0.978,0.935,0.932,0.931,0.932,0.931,0.932,0.931,0.932,0.931,
0.951,0.922,0.914,0.913,0.913,0.913,0.913,0.913,0.913,0.913,1.0,0.938,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,
0.974,0.949,0.937,0.936,0.936,0.936,0.936,0.936,0.936,0.936,1.0,0.943,0.94,0.939,0.939,0.939,0.939,0.939,0.939,0.939,
0.927,0.902,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.933,0.891,0.889,0.888,0.888,0.888,0.888,0.888,0.888,0.888,
1.0,0.969,0.962,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.916,0.872,0.868,0.868,0.868,0.868,0.868,0.868,0.868,0.868,
0.91,0.882,0.877,0.876,0.876,0.876,0.876,0.876,0.876,0.876,1.0,0.955,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,
0.98,0.945,0.939,0.938,0.938,0.938,0.938,0.938,0.938,0.938,1.0,0.955,0.953,0.952,0.952,0.952,0.952,0.952,0.952,0.952,
0.956,0.93,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.911,0.862,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,
1.0,0.966,0.961,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.0,0.962,0.959,0.958,0.958,0.958,0.958,0.958,0.958,0.958,
0.961,0.918,0.914,0.914,0.913,0.913,0.913,0.913,0.913,0.913,0.932,0.892,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,
0.941,0.914,0.904,0.905,0.904,0.905,0.904,0.905,0.904,0.905,1.0,0.935,0.931,0.931,0.93,0.931,0.93,0.931,0.93,0.931,
0.985,0.976,0.968,0.967,0.967,0.967,0.967,0.967,0.967,0.967,1.0,0.953,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,
1.0,0.976,0.967,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.988,0.935,0.931,0.93,0.93,0.93,0.93,0.93,0.93,0.93,
1.0,0.967,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.0,0.947,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,
0.899,0.856,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.98,0.939,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,
1.0,0.972,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,1.0,0.954,0.952,0.95,0.951,0.95,0.951,0.95,0.951,0.95,
0.967,0.933,0.926,0.925,0.925,0.925,0.925,0.925,0.925,0.925,1.0,0.945,0.949,0.942,0.949,0.942,0.949,0.942,0.949,0.942,
0.874,0.852,0.846,0.845,0.845,0.845,0.845,0.845,0.845,0.845,0.916,0.871,0.869,0.867,0.868,0.867,0.868,0.867,0.868,0.867,
0.919,0.901,0.895,0.894,0.894,0.894,0.894,0.894,0.894,0.894,1.0,0.93,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,
1.0,0.964,0.957,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.849,0.805,0.799,0.803,0.799,0.803,0.799,0.803,0.799,0.803,
1.0,0.974,0.968,0.967,0.967,0.967,0.967,0.967,0.967,0.967,1.0,0.954,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,
1.0,0.976,0.966,0.965,0.965,0.965,0.965,0.965,0.965,0.965,1.0,0.956,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,
1.0,0.972,0.966,0.965,0.965,0.965,0.965,0.965,0.965,0.965,1.0,0.952,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,
1.0,0.972,0.966,0.965,0.965,0.965,0.965,0.965,0.965,0.965,1.0,0.957,0.956,0.955,0.955,0.955,0.955,0.955,0.955,0.955,
1.0,0.964,0.956,0.955,0.955,0.955,0.955,0.955,0.955,0.955,1.0,0.952,0.94,0.947,0.94,0.947,0.94,0.947,0.94,0.947,
1.0,0.969,0.963,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.993,0.949,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,
0.997,0.968,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,1.0,0.958,0.955,0.954,0.954,0.954,0.954,0.954,0.954,0.954,
0.943,0.99,0.985,0.984,0.984,0.984,0.984,0.984,0.984,0.984,1.0,0.958,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,
0.955,0.925,0.919,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.987,0.944,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
0.908,0.879,0.873,0.873,0.872,0.872,0.872,0.872,0.872,0.872,1.0,0.953,0.95,0.949,0.949,0.949,0.949,0.949,0.949,0.949,
0.969,0.991,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.997,0.949,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,
1.0,0.975,0.968,0.967,0.967,0.967,0.967,0.967,0.967,0.967,1.0,0.955,0.953,0.952,0.953,0.952,0.953,0.952,0.953,0.952,
1.0,0.972,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.918,0.876,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,
0.943,0.906,0.9,0.9,0.899,0.9,0.899,0.9,0.899,0.9,0.957,0.923,0.918,0.919,0.918,0.919,0.918,0.919,0.918,0.919,
1.0,0.973,0.967,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.974,0.936,0.933,0.932,0.932,0.932,0.932,0.932,0.932,0.932,
1.0,0.968,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,1.0,0.956,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,
0.992,0.953,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,1.0,0.953,0.95,0.949,0.949,0.949,0.949,0.949,0.949,0.949,
1.0,0.973,0.965,0.964,0.964,0.964,0.964,0.964,0.964,0.964,1.0,0.948,0.945,0.944,0.944,0.944,0.944,0.944,0.944,0.944,
1.0,0.975,0.968,0.967,0.967,0.967,0.967,0.967,0.967,0.967,1.0,0.946,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,
0.968,0.917,0.932,0.908,0.931,0.908,0.931,0.908,0.931,0.908,0.984,0.943,0.941,0.939,0.94,0.939,0.94,0.939,0.94,0.939,
1.0,0.971,0.96,0.963,0.96,0.963,0.96,0.963,0.96,0.963,1.0,0.958,0.955,0.954,0.954,0.954,0.954,0.954,0.954,0.954,
0.942,0.905,0.9,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.858,0.822,0.819,0.819,0.818,0.818,0.818,0.818,0.818,0.818,
1.0,0.972,0.963,0.962,0.963,0.962,0.963,0.962,0.963,0.962,0.97,0.936,0.93,0.931,0.93,0.931,0.93,0.931,0.93,0.931,
0.998,0.966,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.953,0.904,0.901,0.9,0.9,0.9,0.9,0.9,0.9,0.9,
0.978,0.951,0.942,0.943,0.941,0.943,0.941,0.943,0.941,0.943,1.0,0.949,0.952,0.949,0.949,0.949,0.949,0.949,0.949,0.949,
0.963,0.935,0.926,0.925,0.925,0.925,0.925,0.925,0.925,0.925,1.0,0.951,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,
0.886,0.86,0.852,0.852,0.852,0.852,0.852,0.852,0.852,0.852,0.902,0.853,0.849,0.848,0.848,0.848,0.848,0.848,0.848,0.848,
1.0,0.97,0.958,0.957,0.957,0.957,0.957,0.957,0.957,0.957,1.0,0.947,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,
0.915,0.838,0.878,0.831,0.877,0.831,0.877,0.831,0.877,0.831,0.961,0.923,0.914,0.919,0.914,0.919,0.914,0.919,0.914,0.919,
1.0,0.973,0.966,0.966,0.966,0.965,0.966,0.965,0.966,0.965,1.0,0.952,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,
1.0,0.971,0.963,0.962,0.962,0.962,0.962,0.962,0.962,0.962,1.0,0.948,0.947,0.943,0.947,0.943,0.947,0.943,0.947,0.943,
0.768,0.79,0.74,0.783,0.74,0.783,0.74,0.783,0.74,0.783,0.864,0.824,0.815,0.82,0.815,0.82,0.815,0.82,0.815,0.82,
0.9,0.875,0.87,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.921,0.882,0.88,0.879,0.879,0.879,0.879,0.879,0.879,0.879,
0.957,0.923,0.915,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.968,0.913,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,
0.851,0.827,0.821,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.923,0.878,0.875,0.874,0.874,0.874,0.874,0.874,0.874,0.874,
0.89,0.863,0.856,0.855,0.855,0.855,0.855,0.855,0.855,0.855,1.0,0.954,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,
1.0,0.967,0.961,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.0,0.959,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,
0.817,0.793,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.941,0.898,0.896,0.895,0.895,0.895,0.895,0.895,0.895,0.895,
1.0,0.973,0.964,0.965,0.963,0.964,0.963,0.964,0.963,0.964,1.0,0.948,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,
1.0,0.975,0.966,0.965,0.965,0.965,0.965,0.965,0.965,0.965,1.0,0.948,0.946,0.945,0.946,0.945,0.946,0.945,0.946,0.945,
1.0,0.965,0.958,0.959,0.958,0.959,0.958,0.959,0.958,0.959,0.934,0.902,0.891,0.898,0.891,0.898,0.891,0.898,0.891,0.898,
0.994,0.965,0.958,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.946,0.898,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,
0.924,0.897,0.891,0.891,0.89,0.891,0.89,0.891,0.89,0.891,0.996,0.952,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,
0.862,0.837,0.828,0.827,0.827,0.827,0.827,0.827,0.827,0.827,1.0,0.95,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,
0.906,0.879,0.871,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.976,0.931,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,
1.0,0.972,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.993,0.954,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,
1.0,0.973,0.965,0.965,0.964,0.965,0.964,0.965,0.964,0.965,0.999,0.963,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,
0.926,0.897,0.888,0.888,0.887,0.888,0.887,0.888,0.887,0.888,0.904,0.86,0.858,0.857,0.857,0.857,0.857,0.857,0.857,0.857,
1.0,0.971,0.964,0.963,0.963,0.963,0.963,0.963,0.963,0.963,1.0,0.95,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,
1.0,0.966,0.96,0.959,0.959,0.959,0.959,0.959,0.959,0.959,1.0,0.959,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,
0.957,0.932,0.924,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.966,0.924,0.921,0.92,0.92,0.92,0.92,0.92,0.92,0.92,
1.0,0.972,0.965,0.964,0.964,0.964,0.964,0.964,0.964,0.964,1.0,0.955,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,
1.0,0.976,0.969,0.968,0.968,0.968,0.968,0.968,0.968,0.968,1.0,0.947,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,
1.0,0.969,0.963,0.962,0.962,0.962,0.962,0.962,0.962,0.962,1.0,0.959,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,
0.981,0.949,0.942,0.941,0.941,0.941,0.941,0.941,0.941,0.941,1.0,0.945,0.942,0.941,0.941,0.941,0.941,0.941,0.941,0.941,
1.0,0.974,0.965,0.964,0.964,0.964,0.964,0.964,0.964,0.964,1.0,0.946,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,
0.879,0.849,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.953,0.913,0.909,0.909,0.908,0.909,0.908,0.909,0.908,0.909,
1.0,0.997,0.99,0.989,0.989,0.989,0.989,0.989,0.989,0.989,1.0,0.951,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,

