0.191,0.542,0.167,0.1,1106.0,
0.345,0.441,0.114,0.1,667.0,
0.298,0.47,0.132,0.1,1016.0,
0.338,0.43,0.132,0.1,591.0,
0.276,0.477,0.146,0.1,670.0,
0.217,0.517,0.167,0.1,1036.0,
0.376,0.421,0.103,0.1,687.0,
0.18,0.502,0.217,0.1,1152.0,
0.186,0.483,0.231,0.1,1633.0,
0.257,0.504,0.139,0.1,1113.0,
0.169,0.53,0.201,0.1,1383.0,
0.206,0.525,0.169,0.1,860.0,
0.193,0.533,0.174,0.1,938.0,
0.219,0.528,0.153,0.1,1038.0,
0.228,0.526,0.146,0.1,931.0,
0.281,0.468,0.151,0.1,708.0,
0.184,0.52,0.196,0.1,1132.0,
0.24,0.494,0.166,0.1,1095.0,
0.445,0.373,0.082,0.1,503.0,
0.201,0.54,0.159,0.1,819.0,
0.277,0.498,0.126,0.1,766.0,
0.202,0.524,0.174,0.1,1150.0,
0.367,0.427,0.106,0.1,394.0,
0.266,0.494,0.14,0.1,1310.0,
0.204,0.493,0.203,0.1,1217.0,
0.188,0.513,0.199,0.1,1293.0,
0.28,0.48,0.141,0.1,984.0,
0.227,0.533,0.14,0.1,833.0,
0.224,0.53,0.147,0.1,1075.0,
0.212,0.534,0.155,0.1,854.0,
0.203,0.501,0.196,0.1,1370.0,
0.231,0.531,0.139,0.1,765.0,
0.245,0.506,0.149,0.1,1328.0,
0.367,0.424,0.109,0.1,419.0,
0.377,0.409,0.114,0.1,597.0,
0.422,0.404,0.073,0.1,338.0,
0.226,0.518,0.156,0.1,857.0,
0.235,0.514,0.151,0.1,559.0,
0.205,0.499,0.195,0.1,996.0,
0.319,0.46,0.121,0.1,665.0,
0.224,0.522,0.155,0.1,939.0,
0.346,0.432,0.123,0.1,708.0,
0.288,0.465,0.147,0.1,784.0,
0.321,0.452,0.127,0.1,392.0,
0.203,0.521,0.176,0.1,890.0,
0.207,0.518,0.175,0.1,1394.0,
0.256,0.49,0.154,0.1,702.0,
0.267,0.493,0.14,0.1,832.0,
0.226,0.514,0.16,0.1,955.0,
0.174,0.503,0.223,0.1,1847.0,
0.248,0.482,0.17,0.1,903.0,
0.237,0.52,0.143,0.1,846.0,
0.231,0.503,0.166,0.1,1159.0,
0.251,0.49,0.16,0.1,800.0,
0.254,0.497,0.149,0.1,938.0,
0.219,0.526,0.155,0.1,857.0,
0.211,0.513,0.176,0.1,753.0,
0.235,0.516,0.15,0.1,1000.0,
0.518,0.314,0.067,0.1,380.0,
0.254,0.494,0.152,0.1,750.0,
0.276,0.487,0.137,0.1,872.0,
0.343,0.428,0.13,0.1,923.0,
0.378,0.394,0.128,0.1,640.0,
0.283,0.48,0.137,0.1,628.0,
0.273,0.488,0.139,0.1,1005.0,
0.255,0.509,0.136,0.1,822.0,
0.285,0.475,0.14,0.1,883.0,
0.248,0.516,0.136,0.1,787.0,
0.167,0.525,0.207,0.1,1229.0,
0.292,0.46,0.148,0.1,931.0,
0.438,0.36,0.101,0.1,539.0,
0.234,0.512,0.154,0.1,1211.0,
0.259,0.507,0.135,0.1,737.0,
0.227,0.503,0.17,0.1,1149.0,
0.236,0.494,0.17,0.1,944.0,
0.271,0.469,0.16,0.1,908.0,
0.312,0.497,0.091,0.1,467.0,
0.214,0.528,0.158,0.1,838.0,
0.22,0.496,0.184,0.1,1249.0,
0.239,0.483,0.178,0.1,1180.0,
0.28,0.474,0.146,0.1,723.0,
0.317,0.454,0.129,0.1,619.0,
0.347,0.435,0.118,0.1,494.0,
0.209,0.532,0.159,0.1,807.0,
0.236,0.516,0.148,0.1,869.0,
0.225,0.516,0.159,0.1,972.0,
0.223,0.513,0.164,0.1,1310.0,
0.313,0.46,0.127,0.1,856.0,
0.183,0.515,0.201,0.1,1575.0,
0.242,0.525,0.133,0.1,635.0,
0.246,0.47,0.184,0.1,1168.0,
0.338,0.444,0.118,0.1,652.0,
0.21,0.523,0.167,0.1,995.0,
0.236,0.499,0.165,0.1,1371.0,
0.299,0.464,0.137,0.1,973.0,
0.299,0.49,0.111,0.1,797.0,
0.244,0.502,0.153,0.1,759.0,
0.199,0.505,0.196,0.1,1723.0,
0.338,0.436,0.127,0.1,822.0,
0.242,0.517,0.141,0.1,883.0,
0.189,0.512,0.199,0.1,1538.0,
0.268,0.505,0.127,0.1,604.0,
0.545,0.302,0.052,0.1,317.0,
0.562,0.264,0.073,0.1,383.0,
0.295,0.482,0.123,0.1,514.0,
0.185,0.497,0.218,0.1,1347.0,
0.347,0.441,0.112,0.1,474.0,
0.244,0.512,0.144,0.1,841.0,
0.16,0.517,0.223,0.1,1866.0,
0.226,0.522,0.152,0.1,874.0,
0.278,0.482,0.14,0.1,814.0,
0.254,0.498,0.148,0.1,717.0,
0.263,0.49,0.147,0.1,884.0,
0.209,0.541,0.15,0.1,1180.0,
0.216,0.542,0.142,0.1,1265.0,
0.296,0.501,0.103,0.1,572.0,
0.267,0.497,0.136,0.1,737.0,
0.19,0.485,0.225,0.1,1435.0,
0.266,0.512,0.122,0.1,826.0,
0.195,0.53,0.174,0.1,1333.0,
0.178,0.5,0.222,0.1,1350.0,
0.24,0.515,0.145,0.1,693.0,
0.183,0.514,0.202,0.1,1705.0,
0.239,0.51,0.151,0.1,1042.0,
0.225,0.502,0.173,0.1,906.0,
0.364,0.436,0.1,0.1,595.0,
