5539,5553,5554,7623,8221,7718,9240,9781,9262,11673,11708,12068,13248,13355,12907,14297,14479,14068,15750,16255,15791,17404,17975,19360,
5808,5888,5892,7175,7902,7197,8966,10187,9019,11105,11226,10775,12716,12816,13071,14498,15150,14093,16464,16564,16023,18043,19268,18712,
5683,6460,5692,7132,7628,7225,10307,10092,9606,10973,11088,10615,12650,12676,12268,14547,14715,14334,16310,16361,16715,17718,18480,17711,
5271,6022,5285,7453,8525,7477,9072,9665,9171,11280,11402,10980,12913,13029,12595,14714,14801,14334,15797,16334,15878,17021,17440,18795,
5621,6361,5707,7310,8427,7336,8947,9459,8977,11055,11099,10768,12659,12711,12294,14426,14519,14067,15705,16913,15709,17425,17918,19159,
5603,6373,5613,7452,8027,7536,9155,9607,9188,11423,11544,11129,13043,13087,12586,14115,14231,13837,15832,15933,15876,17298,17776,17326,
5396,6116,5404,7403,8549,7429,9192,10373,9239,11152,11274,10896,12830,12869,12477,14284,14372,13855,16574,16705,17893,17054,17628,17132,
5550,6316,5563,7578,8057,7671,9388,10627,9440,11525,12288,11867,12616,12663,12252,14486,14567,14758,16390,16489,15967,17685,18303,17847,
5502,6168,5503,7595,7986,7678,9200,10378,9239,11549,11669,11286,12710,12823,12385,14580,15350,14232,15865,15932,15520,17586,18116,19408,
5767,6411,5772,7065,8222,7158,9484,10029,10213,10883,11002,10605,12718,12825,12364,14291,14454,14014,15837,16764,15891,17861,18445,17878,
5647,5727,5656,7247,7338,7275,9239,9747,9264,11748,12536,11421,12698,12800,12385,14719,15558,14393,15772,16273,15771,17813,18326,18513,
5425,6206,5434,7419,8316,7520,8924,10187,8980,11255,11358,10910,12849,12889,12480,14569,14742,14249,16645,16686,16691,17596,18029,17534,
5290,6063,5376,7325,8069,7344,10299,10064,9605,11081,11181,10745,12740,12774,12351,14374,14553,14149,16482,16598,16084,17408,17864,19117,
5366,5377,5375,7599,8144,7630,8985,10145,9036,11499,11608,11157,13103,13222,12806,14297,15082,13982,16247,16301,15926,17355,17798,19124,
5555,6301,5561,7312,7736,7401,8938,9506,8985,11296,11406,10997,12995,13117,12656,14473,14563,14242,15720,16331,15861,17124,17594,18841,
5702,5715,5718,7624,8956,7654,9347,9762,9307,11601,11627,11196,12624,12738,12335,14458,15292,14987,15979,16120,15683,17565,18033,18251,
5679,6465,5765,7491,8837,7583,9433,10670,9395,11482,11591,11143,13071,13188,12800,15119,14509,14144,16023,16542,16112,18110,18053,17606,
5640,6395,5651,7623,8019,7722,9282,10425,9392,11069,11170,10787,12763,12810,12414,14235,14335,13864,16395,16506,15995,17485,17975,19157,
5829,6670,5840,7518,8016,7611,9311,9846,9368,11048,11066,10640,12963,13069,12631,14737,15676,14417,15728,16185,15804,18024,19232,18065,
5415,5493,5418,7143,7658,7154,8816,9944,8795,11356,11374,10929,12897,12996,12542,14673,14830,14380,16119,16606,16065,17112,17600,18946,
5279,5359,5282,7202,8049,7223,9395,9914,10068,11135,11249,10806,12808,12845,12408,14602,14693,14264,16505,16512,16895,17456,17873,19182,
5543,6316,5625,7387,8569,7406,9143,10352,9178,11120,11602,11157,13161,13269,12756,14324,14477,14025,16346,16464,15998,17358,17876,19239,
5421,6149,5432,7284,7767,7378,8935,9518,9054,11464,11571,11170,12952,13054,12635,14182,14912,13863,16171,16280,15700,17250,17672,17170,
5693,5768,5771,7381,7947,7478,9105,9625,9153,11781,11873,12141,12684,13491,12346,14583,14742,15071,15914,15978,15538,17780,18885,17738,
5748,5821,5751,7356,7909,7448,9811,9716,9203,11560,11679,11264,13141,13244,12803,14463,14546,14134,15860,15988,15565,17488,17952,17447,
5220,5907,5228,7698,9010,7720,9588,10762,9629,11042,11081,10737,12619,12734,12355,14345,14514,14093,16507,16592,16209,17118,17594,20832,
5695,6483,5776,7726,8252,7743,9541,10064,9578,10907,10961,10582,12685,12811,12394,14460,15006,14242,15698,16211,16898,18113,18502,20694,
5479,5554,5484,7114,7577,7126,8813,9349,8921,11216,11326,10934,12778,12814,12329,14601,14781,14328,16127,16240,15787,17002,17618,17104,
5535,6276,5543,7127,7865,7139,8716,9234,8748,11082,11176,10802,12800,12918,12493,14474,14667,14288,16473,16578,16130,17686,18172,19320,
5684,6391,5690,7256,7654,7275,9163,9702,9200,11300,11416,11023,12877,12978,12555,14091,14247,13854,16123,16533,16124,17358,17957,17393,
5485,6219,5492,7141,8366,7230,9044,9872,9012,11528,11659,11227,12604,12671,12274,14699,14850,14426,16329,16370,15982,17352,18274,19120,
5758,5833,5763,7554,8078,7579,9338,9841,9363,11351,11846,11400,13245,13310,13304,14563,14648,14206,15548,16404,15589,17691,18163,17740,
5621,6447,5626,7392,7869,7493,9085,9874,9195,11304,11408,11018,13016,13128,12743,14354,15133,14106,15552,16190,15679,17423,17807,19174,
