4438,1503,12110,11229,5995,8875,8520,53200,87656
13442,3916,40425,14730,40020,11636,8068,62241,73321
462,6422,4264,12206,4440,2218,10337,17684,28098
2154,2408,12829,6367,896,43301,116943,19764,29611
1470,6598,5898,4807,18132,7388,21413,32829,55906
446,4435,1680,7087,11382,31689,4570,21621,16982
2511,1186,12847,4752,2677,19486,4256,5972,83208
3650,4409,15536,11554,27827,3290,32347,62429,41419
8267,14790,6202,34301,14052,18956,33331,6476,23553
753,2825,4818,8562,4029,5133,5417,18816,35722
2653,9492,4744,22683,22977,13533,20326,194,70006
1464,3771,5584,2186,11254,5569,12195,8178,34817
5224,11646,4879,26587,10042,2550,34870,19358,8720
2055,17805,2853,2108,18959,31010,17310,7200,22024
7099,4511,12127,10803,6695,25299,6112,7774,91894
6037,5674,9260,4196,5827,16003,43268,15048,12540
3413,7031,9674,8230,945,11443,1043,107902,102748
4766,15709,12574,4622,2270,4723,5774,15465,23999
5016,9617,19418,11313,19867,7865,8447,92548,9949
2240,951,5432,7447,8601,882,90770,114437,272382
2356,1957,143,1188,16042,10893,8728,17040,47058
5273,1026,4237,17823,2340,13813,3532,18169,9092
1707,115,1336,292,12166,8631,741,13153,57577
9832,6843,4825,4703,14450,28210,2767,68642,18282
2632,3678,10539,16770,26672,36593,12265,24435,85139
2836,4328,5577,12859,11129,9921,15652,38228,16647
8121,2064,14450,7580,16945,13053,20499,251761,44755
5595,6263,7974,4029,9269,5016,14492,29201,261842
6653,4172,7013,304,25978,9573,5515,104496,165621
1220,5515,9018,8458,6458,861,17326,10347,65989
1299,3293,137,9301,5701,15673,62016,18154,29698
6825,6129,3334,7212,7944,3247,7094,40624,66051
4227,7364,17979,20410,13148,50744,12716,19764,255750
7560,65,10577,6316,827,16679,8350,8038,32770
3627,2774,11633,13949,6351,35237,8835,128172,83860
3119,7782,8508,5322,15876,5174,5715,51957,74239
4637,3271,3098,5520,5893,5514,12548,6101,45832
8947,1295,8589,5555,9964,7030,17310,21130,508
234,2198,6797,10289,13399,27234,22097,28052,194304
4678,5272,56,7363,10678,9146,21147,7311,10208
3010,6716,11764,23917,13773,12527,12332,28714,53511
951,927,3578,21078,7187,11127,18750,58438,24525
299,2083,3789,8299,8217,3443,10294,13992,51371
5855,4820,4483,3893,40449,7620,5487,19639,37666
1266,2477,7134,2556,6926,6629,34476,27566,9843
521,10363,11152,7330,3400,16291,11093,24215,25778
6287,3988,2478,26566,6933,8252,21103,27740,12849
4308,5241,7243,2346,3803,23327,15589,1916,23282
7631,10009,5945,7008,30470,11291,26611,16527,159344
3127,658,3137,14227,10987,73970,19450,4045,139078
