1218,954,3110,7261,3309,19001,587,21201,169475,105616
1300,18461,2220,9237,6194,6307,7535,37106,29545,120928
221,48,2792,7015,4106,4413,104530,26496,14727,66238
1059,3775,4880,4197,1805,19959,6341,109103,32913,2834
1956,1354,1825,2812,198,14,2242,15360,37774,12191
327,606,4959,2585,8639,3705,18446,680,39480,15500
789,5181,2084,4164,20492,1503,3102,26383,3417,467959
1559,2087,6583,4135,12615,12700,6323,7085,16748,169992
243,542,3499,27893,10202,13819,38205,11051,14546,6298
15,1591,2613,14740,4425,1675,6136,6284,21089,256342
1114,1425,2788,4746,13680,14292,1493,38500,19676,28037
418,1091,2258,1025,7060,13530,14014,37110,15446,241034
2621,3300,103,3308,19579,8001,12667,4484,34192,248
2019,81,7610,17491,1498,257,15220,10831,7232,43696
2173,1161,76,720,27057,6464,3242,29814,5276,47653
1110,1929,1715,18800,3282,3236,8351,16309,12456,142314
60,5944,7182,3370,5102,1576,26328,7660,8540,9217
1144,1808,3026,1958,1661,7890,3536,46707,8009,63655
263,1402,18557,328,3279,26648,21531,11723,2082,40766
269,1670,477,7937,2964,28888,30891,28895,262,42254
402,1433,4234,2804,10336,344,6449,14480,128341,32390
389,2144,1327,9951,3917,46960,3470,2007,4631,114286
1019,1026,2521,2184,895,2190,24145,21177,76124,59309
158,2700,3627,1261,2718,11489,65824,6537,103827,280219
1681,1673,3326,1516,6293,17270,1014,8469,4208,22985
1760,2026,10704,2236,4786,5455,5187,1321,32406,74825
2966,1315,12468,1792,443,1262,19183,2519,3753,27789
912,1919,1653,17441,6665,1982,3490,1005,54688,23812
303,2967,8337,10110,1273,38738,3008,102910,26380,203190
832,1066,343,4961,3320,1266,10344,334,7217,440638
2223,3076,1865,4198,3230,17412,586,28723,11057,25447
128,4039,5151,6692,2122,11277,6820,4813,2123,157504
1617,2201,1832,14863,2058,10316,1598,9444,7106,563
1542,2055,687,8033,1154,12502,26288,2519,1556,211522
331,1535,4576,835,8905,9599,25688,365,36439,18114
1138,3811,2821,2183,6631,2246,21926,7369,2982,35507
1752,5754,578,722,108,1555,12864,15560,57177,26754
1180,2441,6256,13738,31137,41350,152,47720,43077,164381
79,227,3060,1483,11627,8077,13903,20017,45028,64405
1633,1213,3410,4199,692,17219,6360,7552,2613,45890
1561,6600,7428,2533,918,2104,11072,33363,92752,40251
1053,475,2779,94,229,30163,18385,1649,39612,206
177,1377,393,7769,3009,9768,54092,40649,24120,31013
12,1353,836,1099,2935,20590,13883,5801,176827,42846
568,3740,674,4129,1922,4357,12380,15243,31104,12304
1985,2524,4800,714,129,10353,2332,17525,25218,42939
114,1842,15660,1377,16465,1898,5379,37358,10648,42078
3590,2968,3175,2000,4251,3141,227,2979,32244,46681
429,1114,2826,1229,5840,12935,10104,9764,642,177642
1534,1230,10702,2594,601,5915,2078,26430,9559,16272
1209,507,6094,4480,1294,451,21218,4022,7796,157354
487,1317,2805,2071,10466,3129,3647,28631,16497,16508
54,1015,5488,2667,9180,3509,7600,6807,14282,274331
2228,8443,808,1100,2998,759,4713,531,8440,173794
