290165,264476,257205,11007
35299,30061,22085,31138
116108,97323,54605,102746
26484,26870,8595,33223
40005,39659,35869,20028
89708,10692,88199,91956
627131,523384,391913,210943
257980,257138,232653,168903
253601,237400,194769,76469
259853,255343,244151,60877
306730,345286,277542,286112
394773,358950,323059,18757
108672,111697,110989,17502
68300,35694,40930,87361
50546,49413,34261,39445
274683,227278,224831,51363
29467,21731,21371,20300
352102,240132,155358,160251
116468,89311,89705,37986
15883,8165,15758,23390
192914,175451,193765,23327
47012,46345,31918,51644
69604,67282,64962,23222
244429,225013,245310,38420
170834,164016,158794,19465
176277,168377,159808,52763
381612,378385,298276,123027
295535,283065,222202,99707
108081,102175,56617,30185
288467,223967,81197,142423
78011,74877,92880,90944
338689,275721,254249,61725
263549,288438,224431,83581
14394,11590,15538,11679
33882,25642,25402,17300
62559,73701,65685,48625
17245,26714,22183,20199
176920,175145,147952,173447
46773,14325,28381,38796
19270,18979,27979,26712
200250,192543,155917,64586
177333,149875,142745,54114
177216,177931,131194,81301
125210,123750,97492,86779
151039,138228,85664,143386
258865,134665,195314,34393
551139,537242,543310,38645
97980,78288,77272,15568
107053,98087,75267,105342
241022,229985,233399,47880
52011,42940,10962,47078
88888,92200,89792,39372
674792,638436,527049,103665
107739,106661,116190,72751
20755,6286,18144,20655
273310,277153,210742,212177
77839,90123,58331,30931
67241,7132,59998,77648
181721,181641,162593,51263
217894,214703,73878,104700
39080,40206,11423,57800
641640,626500,384894,333338
133475,122575,3341,140816
140522,74642,167377,157304
130118,106674,126274,109679
207953,192340,139686,195332
362345,282485,188815,247289
161982,163866,131466,5041
381591,343980,355769,309940
85972,83869,91297,50490
174320,172944,164273,161338
82127,61598,49274,26814
116180,112701,32858,65903
207714,202288,162601,40901
18219,16724,16090,30236
209694,164127,188722,14884
24288,16207,16444,34870
90975,78344,52481,55678
45636,28668,33408,55775
74576,56743,14297,72963
83126,76660,73060,24636
52648,57333,61366,13307
88760,90177,76820,67845
76990,67434,60697,48925
46892,44838,41433,36932
105833,99002,9136,80891
8070,12271,12582,16137
58523,47875,21401,18822
114225,101108,99121,56231
108767,112471,108573,88447
96369,74015,73493,24557
334298,304211,255872,69726
94105,84137,18393,78236
125142,88522,49511,150507
140553,122837,132909,79155
122347,79936,70910,76826
41347,48502,44678,28496
68097,61227,25321,48490
45369,36382,32537,40635
116237,71046,72024,72113
36500,24317,38024,9568
137105,118212,139371,93672
808264,787816,761912,18338
167471,167227,102944,131868
247843,218061,248074,176038
81919,57909,81122,18614
34823,11632,29949,45216
156092,120392,88959,141739
173530,181466,172973,48299
98931,85131,104842,78682
198373,204276,157255,152051
176668,159190,172271,48403
146933,133030,111560,25141
191944,179126,162822,146778
151196,137488,140765,127208
83610,83715,79757,22209
96144,49536,83867,66123
125003,84597,85829,109077
132358,118516,129430,52624
99496,83387,92755,54036
44307,34911,17386,48418
106644,97566,50853,58916
170803,169227,164076,165791
16288,10132,16264,13876
108158,84356,24369,130979
27828,22905,27278,6643
285500,264106,255272,74071
51584,48554,59005,36583
205110,192462,179434,149993
53310,65023,46359,50871
543226,520598,454850,203774
43222,39970,35758,7410
35867,32679,26623,17123
63745,59845,41838,32972
112420,103292,108286,53292
72336,90708,77446,17283
128840,93037,114153,58961
473509,420188,411844,144687
125767,119767,98285,61052
502300,425488,424131,119826
199120,164320,109336,119953
37954,32368,14926,40070
120714,117550,100883,21180
234354,233655,109057,44821
195748,188212,164124,48867
55240,50108,45002,22542
45418,39360,26064,32978
12495,5901,12830,17226
57775,68605,47060,39379
60372,52637,51998,39753
98142,90640,85124,73272
196812,194381,176869,165188
208124,205445,191082,70378
198984,177424,101603,236060
11542,13744,8322,13426
26906,11953,32565,39549
560972,538482,468818,65504
838940,775040,607458,86708
47935,44222,35802,38453
211376,204492,135213,112721
382227,366563,339111,21292
279428,213110,157249,340147
366361,349668,365103,280398
71193,67290,62855,52943
57445,64398,57539,60315
12416,9086,15890,19260
47071,49325,46735,14800
35192,42028,35985,25947
286870,260960,204754,236564
30584,11662,21604,25902
11859,10718,16651,15604
158448,98228,45708,174122
31867,28997,26068,17187
203492,202422,205483,173777
254561,240468,253785,94200
41832,45898,42761,28675
128583,102823,46973,98745
243387,162100,167351,81188
66100,54416,58587,29211
81912,78898,59885,51479
47186,38455,30127,18925
301481,268245,137115,193973
59588,47180,29287,66718
126254,111790,106554,87233
72948,68418,66596,73349
124566,141972,101197,128229
142588,119156,115727,109453
151231,88307,127281,96630
559657,403413,289628,92355
20655,9071,13823,25894
331818,295954,272944,160897
18168,9128,13850,27128
131452,115956,97246,115612
146164,118045,104907,91125
159136,146017,148321,137130
645793,642933,547909,45909
258629,216315,152519,213873
26613,23730,16780,30109
44814,44002,20318,41240
170258,172957,158384,157624
51766,42270,30450,27426
58923,55281,48663,45377
304500,312824,298918,92793
97084,90226,86643,21353
49269,51667,54925,29740
17967,16807,18833,9168
83810,80477,18559,86626
38846,34335,8647,33330
32816,15910,28771,36362
111022,105208,50239,87811
45296,45972,30033,35919
310830,271161,329758,207397
1413648,1412905,846800,9631
446357,441345,399837,61329
54589,49141,53576,16915
379384,366860,249150,314648
35810,37053,34396,21733
249760,244849,252024,245162
226607,231197,194279,96582
238100,224684,216249,9098
12750,29435,44110,55344
369711,333189,304133,316161
354072,346500,219986,325512
27000,35851,32814,28816
60482,48479,30716,68754
437735,397416,351002,56432
153870,113887,150512,72435
395688,394583,370464,47737
279740,276183,252941,189921
105036,107883,95039,78674
21214,15109,15526,32300
200570,188836,174282,17823
88810,89934,35693,72822
137255,131275,131193,13227
136150,136030,40121,113072
31630,27158,30636,20042
285267,278287,291561,212544
199777,194106,200839,72875
174056,182111,163216,112828
147562,154846,122574,99454
73675,66251,22595,63702
50179,49709,28093,42975
699743,697189,644868,120144
99170,86572,39850,60959
40209,36776,23599,21105
