351213,358259,319130,303458,342431,295673,300483,301070,200784,226116
341420,314720,335541,332701,328979,329699,336006,312314,296627,227272
214738,212384,204443,176241,171152,182729,127633,206242,182566,164348
233806,240031,217924,222579,207835,194610,200285,138928,151119,216896
63726,61682,61036,52817,54764,50962,51348,44062,25761,63535
83636,84811,71687,84051,65579,68290,64762,73935,52965,79427
515074,511863,496833,483068,442263,447544,437101,354677,247538,67115
266788,268347,242993,238222,231916,240177,249460,235526,228000,112796
218179,208015,195787,199286,200800,184402,181810,183492,187370,181898
298910,296925,282122,280735,290475,291915,278171,279997,236371,58568
105751,90865,89404,73306,70154,77059,69596,48035,78038,97714
314986,313404,304495,304753,283054,271492,274047,243137,252097,91952
91348,88072,94907,87552,67445,72147,86337,68898,69156,88255
85935,87155,78035,72664,82066,77682,61222,78770,71216,62239
161301,170140,157355,163474,139734,146494,166791,146326,145816,75983
190237,200236,186756,178256,195719,199001,192238,189927,190300,67188
202646,199706,197650,204276,193472,194836,187948,190364,169284,180825
134960,125062,126014,131575,123330,107367,124274,91253,110777,75739
262609,263912,237816,247816,256274,245961,236658,258189,257806,206230
194657,186926,183353,173976,181342,167769,168742,172115,199633,153099
235301,234703,232136,226772,219078,212356,211675,207633,121960,168823
277354,271070,277743,271486,281437,231993,273681,271802,240671,74796
181541,181681,175586,173726,167056,147496,161326,140896,113557,138232
483182,478340,471198,477197,465316,459780,419373,444857,394355,198141
71258,67315,66877,68939,67127,55960,70609,68789,71897,45450
149341,139101,140637,127887,137827,142613,121638,132318,111337,81812
404778,402217,394048,402941,403532,406516,391034,395239,370550,296646
102828,97740,93659,72690,80962,88420,91831,84043,50901,97016
387216,366125,325574,324214,308200,289046,304061,259861,307069,194026
500805,500637,498664,501703,461207,455359,436068,388622,430680,75167
280506,272706,272028,275782,273893,265071,277123,259783,245360,188528
188669,176925,175641,174243,173878,175224,172550,176828,176000,43165
199417,201034,199585,188722,195664,186731,197133,195559,188577,196463
252149,249400,247455,242142,246691,237243,233861,252656,228952,56336
176171,172356,168614,164833,175120,173190,152595,156695,151732,149620
139451,132589,127841,136400,121863,133577,117651,125374,138583,115944
165033,157507,158676,166785,165977,160121,158169,133489,116800,109451
420576,397768,411499,391376,387534,387645,418671,380599,373584,286195
440655,446428,444751,440117,426946,434642,441600,440734,411400,352229
99834,93375,94588,89998,93683,80383,90525,96885,104437,56944
332386,333947,327663,340547,331080,331998,321374,319023,249121,266574
131458,134983,116039,117369,112974,99595,112586,113203,103371,100035
205915,200628,199014,202682,202005,185612,155680,170033,189795,159977
309684,285491,309696,275704,300544,276803,251310,297393,140857,235780
81530,82098,74406,74146,70447,72369,61410,62405,62426,74117
92519,92504,93028,87828,87851,82980,70307,67338,49586,65580
145469,125811,116239,126086,117704,131899,115607,117046,120986,113391
160920,162510,160524,161462,159653,161779,156320,163545,141535,105373
207525,204954,200870,199259,194209,195506,197612,198116,204453,44883
130348,128070,125646,133947,128539,127919,128483,106051,126980,60643
224339,222548,218055,215865,213155,202157,180794,201209,174684,78985
147310,148346,142138,148067,143797,131234,149663,125715,125204,69050
314933,312987,303071,302613,294852,282433,289361,276114,264513,50602
209603,199059,205502,211503,198310,200020,196636,181861,182392,49709
344475,336240,329763,328777,336090,318157,317428,320167,306057,42226
150036,148768,150681,148020,146935,151791,153628,138186,142391,138685
180149,178230,174132,181221,173153,151411,163314,138074,130724,74597
52069,50540,49643,47364,35630,45020,46011,42211,34217,56605
58914,50540,46673,43700,28323,48207,30036,49882,56596,72182
268187,272149,254534,259437,240540,243920,227432,189145,217215,201804
219975,217704,216756,216746,209829,217415,209822,192279,194850,73954
87334,82916,83302,85352,79612,81277,60264,79488,81554,75001
135235,137703,146862,134350,137254,130147,143980,126872,120810,125056
305253,310705,306962,295877,304514,305142,304540,305664,275748,261256
138140,130641,131891,126633,128483,131463,129565,108775,128035,118928
159954,156092,150855,152465,144233,110245,138259,141752,140199,93043
415557,411554,408180,408861,404754,383785,393843,352119,375586,121037
156212,150369,148839,142452,147025,146561,138613,134023,109555,45931
77968,80582,79539,80408,78586,76511,77387,74421,81808,23605
203735,200766,199703,197035,189748,182356,168418,160124,176071,61427
72504,69367,61799,64184,58289,66562,69533,56163,67549,63019
173271,167381,154532,162194,160758,155856,155544,155509,148186,45525
105427,101881,89862,93877,91227,85169,75875,70392,39779,81662
134520,126532,121928,108255,105419,118768,115509,107796,105759,82629
189092,187734,187415,187023,178244,175746,165594,166366,165824,24589
412047,408964,405856,394835,387117,367117,379148,377040,375344,56045
166007,166023,167368,165429,168388,161898,153447,156883,160076,136277
115994,114093,120192,117503,118236,113713,116856,109263,111122,26339
152282,149020,144207,143686,142954,135441,135727,131280,116510,79418
100587,99676,93273,98287,88884,95905,72930,71698,61648,66655
64444,46664,49253,43843,28829,33786,44810,45523,65761,71290
382326,378871,378758,348633,321982,313804,319427,278820,253462,113485
482634,480857,467250,464342,424533,371306,396793,359305,354339,118884
157670,155386,160956,156002,147517,155828,157011,157680,144364,107595
131082,126298,131328,123659,126394,114601,105921,127369,86620,80047
60720,56205,52019,47859,43675,39832,42737,43048,36555,40066
40168,37840,40084,39328,28884,28535,26337,26961,33555,41560
27723,25807,20367,18906,15351,26320,15036,17036,30581,36075
150973,152911,153229,150651,151210,151203,151680,149907,154573,144836
98361,98959,98920,98937,97018,99692,101557,104576,101788,89848
54935,52201,54787,55476,52372,47811,44419,42030,40288,53789
100173,93150,91137,98723,101076,92183,97799,89891,78709,92608
93127,91172,93097,87372,84428,78744,85612,67298,55531,26255
277935,275729,275988,278113,277008,276581,277415,278518,277433,203115
325629,323677,321428,323453,328031,320454,310469,226080,242289,148122
139626,145720,140734,132415,141231,142892,128705,146191,144634,113412
135284,128105,123786,122387,124434,124815,125960,128372,91107,111698
203014,199326,203173,196251,197494,159220,169883,188772,179953,146678
231097,221883,223002,225967,214922,214781,192051,200803,206359,201243
154637,151872,150637,146012,120948,116968,82816,118990,76426,162231
