182187,177046,170379,166687,179087,168167,134925,129637
416220,408325,409467,402288,398293,374688,354327,62267
203404,201632,199904,192283,183501,102041,88136,85521
210572,196268,174280,176252,173979,179622,167807,160556
191492,176765,197902,179198,195338,196187,183629,171519
169677,157638,166776,158816,142354,136835,120116,101107
403767,367163,354951,342016,293662,301231,289053,135111
147735,139910,148689,119298,104445,93764,131962,148478
82703,72397,77175,60940,61720,44102,68034,88899
93442,93087,91536,83094,81727,84157,97418,75672
74957,67167,71948,68628,74015,69788,45153,55189
158399,155508,156424,154820,150269,135419,129943,30254
256855,241143,207749,186858,181598,199692,142375,187764
83064,74658,84462,77418,59402,76726,29222,83414
22030,22261,20436,18363,19103,16289,32222,32489
228455,225235,222724,221678,232720,215603,211606,58166
199239,194568,202121,196802,199665,187119,170586,143428
78141,80327,70565,86612,77061,73950,64483,68054
135103,138462,133856,110871,132206,130938,73845,99140
139989,135976,112437,117990,119379,107244,110735,89683
280799,276209,264647,270846,290361,269956,271431,66595
153866,150039,151754,108091,84185,114413,95659,56185
275601,284942,276504,246539,265684,289984,256527,205019
306940,290262,277543,283190,292278,290298,233007,120861
102096,93438,83659,94721,79333,89432,74772,66404
267878,262287,254541,235152,230723,238130,213244,112734
147301,141631,149161,143457,118709,151363,126638,96932
399389,387477,375376,372024,365330,383375,336939,135888
261445,263227,262793,267649,234583,266497,218842,58303
266189,244941,210056,237633,189360,127451,93613,261018
731699,720133,718216,699611,689848,668779,595016,64758
67593,66643,64234,63813,55203,50954,33796,56591
130183,138951,137767,141732,133283,130851,138591,87329
193007,188193,184243,200729,194734,141485,169317,100827
307631,292426,278963,301819,294204,259827,255956,80202
43500,37535,35551,30802,29610,17202,19473,41636
133049,130857,113355,123561,110553,125179,81391,102868
378256,338381,334921,318507,279789,339251,339506,251813
179091,178243,171395,173790,167792,176098,155122,134270
197948,195119,193613,184430,199277,197492,190195,47750
289426,286140,281288,272530,285346,233869,261149,263733
226018,222496,221599,221201,217229,220493,206691,93857
140506,125973,126643,140902,134404,123474,134313,108260
114952,109282,95091,108213,98029,95632,36637,120143
130093,129274,121299,116645,92410,50563,51345,84215
187365,172369,175238,186251,171511,166189,158259,39277
192210,192609,186739,197249,190667,192744,193636,166721
92268,87486,86567,89676,72684,56524,57045,91328
366777,368571,366324,363452,369856,349957,336710,85089
270662,267882,263855,257482,244834,244359,240692,70842
131294,133103,128123,122729,113935,108644,119440,103123
489851,477181,425592,441933,390156,395126,387785,87542
447858,442125,442752,442603,441670,439913,433500,315238
258729,259274,247465,252376,238031,220715,49065,209705
102076,101427,105479,96358,103090,106282,93476,93517
133659,131448,128309,130216,128809,95866,95163,59051
398248,385308,383086,396177,367641,376268,202673,274153
548203,546021,504272,470081,473702,329075,286095,178683
88775,90039,92481,87282,86512,86092,98798,80467
165546,162836,162654,163978,153270,156490,133017,162293
111623,113000,110673,107904,107250,101393,115989,103215
251381,249449,243058,250040,249984,240822,156932,173230
511081,505275,509971,499169,499505,496231,491075,392650
510916,509008,498586,493568,458352,477118,456619,53957
240781,214413,238657,225587,191510,208753,182647,177038
121449,125788,127671,122850,100494,89260,97064,94040
250930,250926,241762,212014,193742,211721,195329,80199
137462,133495,121255,122343,122276,114660,46467,104772
117990,113738,112886,113082,119724,106456,116043,99639
76049,76699,79711,81668,75880,73089,75934,55405
255996,248451,252019,245760,243999,257711,214407,201705
276880,274660,272036,273280,240962,199718,186761,83766
145934,145157,149144,139598,129430,102864,136808,27313
102951,98673,83915,80584,73475,51361,52872,33257
181641,173835,174835,164267,137062,142551,143594,57314
156706,149711,152278,152297,147858,138488,135847,142423
364262,350876,352752,330481,336655,339636,348143,93992
118849,109657,115098,118566,103836,104482,110096,60891
162510,154788,159320,154558,141730,135352,150944,93868
86113,82137,79801,59409,69084,72179,68042,42411
126193,125658,122111,124855,112281,113719,125323,92796
135768,132760,127866,106047,120668,105983,103981,65696
78999,74750,79753,77147,76239,46373,70548,71969
147081,133772,119632,127660,126881,97931,27337,160894
274722,272978,273575,228869,220976,253871,217754,130881
426189,411905,397399,411040,370888,423329,298687,266020
103187,97212,86795,85660,61328,45647,58249,60712
183422,183058,181164,168473,167086,182788,167211,159642
321641,320626,317785,312123,317512,310444,307861,221860
70682,68887,60566,64861,63545,57785,55486,45884
197342,185979,179693,194454,195440,174222,181383,52582
46989,44203,44897,41182,35355,47408,48739,33261
153416,151504,151897,136748,132196,105826,137290,120911
121951,110742,122741,118585,106276,78739,122086,115328
131479,128689,129120,123297,130499,130925,80154,101511
234363,228963,222843,209520,222328,208905,167906,83829
165225,163641,160084,157627,158009,137305,132804,40010
106055,105338,103991,105564,100991,101246,95845,21677
104768,114430,100969,108647,106701,84551,97794,95454
102547,104394,109397,108153,100714,107303,83340,45620
170417,168747,165336,159262,157088,124494,73946,79297
216411,204429,175075,190848,170617,68006,157404,187930
165822,156192,147143,120655,102714,93191,96327,142952
194224,186919,183756,179471,176766,159235,153974,50924
245326,246776,239542,228821,219793,196086,237951,157724
44574,37506,35371,34265,36736,27175,20601,40981
195142,183388,201865,174607,175451,144570,171221,175319
348820,338800,330765,338613,336735,297926,276862,306155
264014,268146,259529,253976,261955,257854,237043,182259
155443,153129,154009,148799,148261,149569,95720,126917
128897,127544,132338,128949,128149,122619,129641,130212
191899,188591,184696,183739,193326,185843,187010,146265
359386,344678,338121,339769,297535,264361,210029,205458
345204,326032,314910,279117,221773,206315,288362,176286
218745,215873,213503,213416,193360,201777,199984,152875
135230,110988,107955,111322,136160,113480,123428,97578
159281,156856,158589,159852,156212,153848,157864,95464
149220,140256,140886,135709,117587,143301,132318,47154
335259,342479,330992,334285,342587,334781,314216,306933
188860,183217,173435,176441,192879,174298,187590,45639
122252,110994,107217,101430,90875,77140,76457,67573
841737,819782,808262,795677,790748,726509,717723,60637
8257,15201,15970,10850,16460,16875,18191,23965
59516,51578,43728,42701,38574,36627,45125,51778
125735,127003,124117,122858,119826,124837,104413,72799
88510,86155,83122,84403,78482,82679,75045,44310
192058,193331,178952,163346,188762,180117,159268,101668
109305,109693,105848,85062,81071,80964,74565,53351
287122,267684,249555,262597,257990,256591,198519,155314
127634,116184,122868,116977,107268,117396,92599,25516
215565,222375,209294,213150,216832,203611,201319,143077
193193,192867,189430,194222,176884,175562,182881,60104
258753,265714,277942,262115,280438,258768,251955,236719
61800,59881,59423,46548,52159,54654,66732,57091
334767,332501,329920,335836,327369,333283,320121,289484
75929,73499,70703,67781,72115,72433,78231,56293
73834,63777,70796,73830,71196,39379,76180,60982
109329,108428,109374,91804,96209,101859,96715,69574
172013,153547,146145,145619,134261,86648,107949,179937
29783,28249,24851,26952,28351,25681,19789,35144
76965,70101,73660,73764,80587,67374,80399,75733
127433,124636,119555,121434,129004,92153,115370,90264
24517,21712,26555,24639,21629,20622,21631,31469
133919,127016,125002,126515,115590,120944,95745,58807
142038,121010,113042,100115,95759,93786,83166,88553
179143,173586,170492,150351,151103,111356,102636,121442
186515,182984,169881,183054,167027,175884,172119,105473
114160,91225,97337,84596,98239,90669,82162,65218
117085,116653,116328,115896,120514,93005,112295,119453
39114,34664,28635,35883,35523,38233,33982,42106
63236,63704,43921,49065,58330,66316,35718,40306
148008,156312,144776,146209,138733,142828,110614,132837
395456,381036,353680,315026,314788,293327,227785,161167
164985,165067,153518,156009,149563,108491,136903,97107
309219,306291,288656,303917,293922,304708,238318,252943
318795,315888,312232,321591,315423,299983,281983,260402
439128,432885,433837,432424,397006,431090,422155,362640
57013,55052,58613,45172,39039,32624,28530,33305
121855,121053,118794,113409,115878,123788,73243,105288
151031,153821,144796,137542,142723,149581,143518,96289
222127,216505,218644,220966,190342,203388,207622,168892
139179,133796,113466,112879,98762,120673,117671,104259
129884,135103,135460,117470,115678,117221,131650,75912
147062,143909,144701,125502,128051,102210,98816,169073
141951,141331,141371,124183,133849,126663,126558,48771
250650,249123,245806,205558,169038,233813,199519,99196
382999,383290,391769,367108,353448,302938,309663,253100
224592,224771,227459,224006,228202,217209,224006,108596
137220,137883,130146,130167,123196,136752,123003,128766
42690,33286,22120,29113,28999,26333,25010,28508
