38149,37769,45390,48441,53833,60773,56602,123365,199013
27656,27342,70632,57293,93126,68166,66377,148141,149204
13947,20860,22349,29717,27859,26037,44651,51812,66113
55708,55771,63929,66685,64971,115911,174793,106700,114031
22152,25283,30825,32002,54994,38899,75951,104606,114941
13679,16432,16593,21853,27524,58152,35399,58011,51378
33051,32569,41317,36838,46006,78551,65689,66600,157954
22045,23338,27233,33148,56788,39758,71030,127820,102404
13929,16444,20213,61445,45841,58539,77237,59614,70316
19881,20912,21294,25611,29135,32423,35940,50923,74541
22815,30814,29676,49255,76935,70376,82808,72431,155443
18716,19277,23527,26231,36565,33617,48013,49375,82497
17421,20715,21485,51023,38515,35526,67238,55489,50100
13133,28842,20885,20984,31817,56984,46425,36745,51997
44110,44834,44080,71080,69192,105135,86625,86595,185975
22570,26992,32623,29382,35630,51134,81363,59602,57599
49011,49967,53723,53664,64595,77520,69367,197626,173097
11361,26768,28696,23106,23840,27802,26277,55228,57879
31220,37639,54261,53041,70770,56695,57831,157854,59319
108324,107875,109277,109616,114446,107848,208121,365854,429436
18984,18898,18291,19740,37486,48823,56465,69149,101289
8739,8316,9257,28086,15792,28054,23128,30180,27128
24919,24541,24985,24582,36359,37884,35463,51144,98537
30100,34021,34361,35702,49414,79038,57497,148661,78144
35016,35178,37383,48371,85768,106871,85206,106313,195464
18625,20901,25536,34378,39973,44575,53383,94701,67312
88904,86490,96869,91098,127128,148003,155914,445035,205820
102468,104969,101336,101598,103720,101651,109689,212574,487770
54606,53844,58055,52820,76859,85804,83626,239661,325416
29008,32580,38424,45367,50476,45004,68495,62966,134824
18642,19577,19011,26230,25216,41217,102845,62007,63373
26392,26327,32032,36402,38881,36472,42743,109995,131512
112468,113093,122015,127653,152067,162728,211695,230689,495103
19617,14960,25108,27829,24411,43834,41110,42970,84942
45720,45717,51365,64555,62715,97398,77700,273857,223095
32654,37053,37970,35323,49392,54082,57498,137195,170561
21975,20089,23143,28097,31957,34044,52549,43680,86895
13518,10104,18708,18551,25325,24579,43299,49470,27520
103309,103829,105246,109506,108372,118808,115396,215622,418312
11485,12707,10886,16677,28002,27511,55058,35106,37346
15280,16724,23641,50071,39564,44497,52521,75770,112241
23477,23375,24966,48905,38375,39097,56141,95979,69609
15915,16519,18678,21844,31499,28842,35833,53068,103817
20326,19504,24513,24972,69001,43719,37676,62413,68664
11485,12259,16883,14652,19315,21632,55227,53898,39771
9651,13438,22769,18434,18363,37031,41390,63247,58462
12066,13890,13792,35397,27346,31673,50917,77312,49887
13340,16434,17763,19316,22090,45634,42713,35603,50990
62805,62949,64246,81442,121460,113553,142719,153841,333227
43488,42833,46804,54511,57322,151686,115330,108974,265411
8301,11997,10819,19754,22696,25581,42114,41743,41888
10675,14457,11649,37764,33403,41580,32621,58140,55482
45763,47120,47320,49283,61168,101794,191781,109926,132211
67371,66973,71073,72387,76351,90770,132058,115849,306251
18901,21750,31669,28833,27050,55688,65343,95198,83930
35582,39070,40571,51121,50258,83100,155903,100330,118837
48698,51850,48665,57526,54474,85889,86264,92275,237908
117327,120544,118057,120892,124697,118234,119670,121087,403371
164894,165443,166230,175957,164033,228539,455855,345592,837777
247639,250714,248890,258053,257264,275605,351191,429353,1030469
12436,13897,19416,18300,21222,20276,49692,41830,52766
59887,61361,66939,61615,79424,77766,125120,145914,323551
28647,31136,33000,36822,44675,54557,52835,52031,132408
32631,33412,36044,40410,44365,62471,86187,118101,185787
112463,113728,114732,113364,120835,111702,152980,197916,411076
8079,9344,9913,13458,10594,16382,26062,43676,38621
8921,10176,17399,15935,18234,39331,47037,45802,30898
24079,25788,28225,35200,36172,35918,104110,63872,69442
269179,269306,269520,270013,283177,278257,324697,415368,1067270
45435,48481,50238,67953,84470,78230,101771,87651,176987
74115,82616,100371,110137,126972,114540,117441,227027,253876
10557,10625,16064,19208,22353,25969,58986,37904,47784
32815,35036,36115,83921,55309,62080,69374,93448,171924
24414,24019,31247,31487,31071,44171,65737,44787,89868
26478,28188,25192,31943,41692,116165,43403,39534,39304
42060,43042,42834,44022,47186,54662,59657,145797,253851
54150,57186,60148,60371,95239,94279,89627,118408,195331
48042,48479,48647,51558,53280,71537,89953,128706,211427
28722,34078,32359,37493,46755,47414,71563,102087,138844
164460,163403,164175,164266,177028,204992,252023,268820,616060
123537,144481,148137,124573,188235,205941,235512,248480,550421
56297,56780,59751,63250,71280,106476,83887,263186,161584
10046,10435,13805,25370,25600,27407,29962,44482,52422
27395,27267,34800,35992,56222,55741,54377,60549,109910
39647,39946,40885,40787,45171,48267,71295,63049,149229
23515,20354,23610,26823,32750,35307,35000,44746,79287
25644,26049,43371,56657,54902,50478,86026,63671,142749
21613,22335,28108,44423,55231,104143,44181,62701,56318
26478,30574,31605,41908,38234,44214,78053,77334,119625
10346,7958,9871,10769,24605,20628,22542,28362,39350
63901,62549,69611,85708,91872,91773,94039,238654,119616
9883,18577,15657,19173,27224,36391,27422,28093,55967
13115,14303,16318,29397,43522,51713,63897,52724,72173
15173,15334,15390,35412,34281,33076,59251,75866,55980
78558,81554,95938,102269,122238,147718,166183,169566,427484
6610,7369,7275,19704,14786,28498,19631,22098,26819
6487,9314,7026,14984,20102,21887,23448,25710,22661
5015,10061,8442,15964,10555,10405,14075,19960,23246
14444,14973,17768,23026,19900,43997,38555,39409,65249
8538,8406,9925,8966,9527,13018,19629,25193,14602
37321,37992,39489,41034,45568,46565,58657,53639,118052
13625,12890,43805,31395,54543,39289,42235,54675,41041
12797,13840,16291,14249,19180,19004,44746,46987,39467
9310,9083,9612,11903,11829,34361,22289,47100,50883
7883,6796,9897,13539,28257,14460,15082,18432,26438
12977,13181,17847,21621,23872,61458,33662,42635,44235
74575,80466,79131,86853,106516,116268,138802,252873,328710
9031,17011,12796,34234,46736,31914,31184,43163,40520
28683,29403,31413,32495,42809,51434,54090,59341,113626
13029,22244,16025,15734,52945,36650,35477,35022,43567
32142,32430,34443,51537,58092,73045,144767,96992,152253
13909,15388,14809,18553,35718,28531,31568,33537,56823
21643,21337,25711,31661,32400,32799,73121,87210,75615
128333,125029,124948,126302,132558,149292,242718,187788,527343
43352,50277,59156,67231,67914,67913,100301,155062,233804
26663,27434,41332,32343,44498,44766,55265,70348,115465
16517,27290,25835,26084,29963,31277,40147,40691,87847
51437,53114,55302,66978,60493,124369,84576,146130,202397
11594,21914,19428,29774,24044,38902,46941,35956,71390
48100,48007,48353,46064,47380,64368,89014,109062,173122
8383,9459,10444,14604,34231,30511,35327,28972,27511
22341,21932,22459,25780,41275,35923,79584,86130,58060
6587,12511,10357,10472,10606,36478,25507,38171,35307
74624,75275,77835,83143,96798,84458,141588,157271,379367
40680,41296,43207,49020,65656,92354,105581,137025,215915
28169,28199,56381,37443,42328,108285,55687,59006,71913
42313,43206,44868,41538,51893,57466,115807,83912,183990
33511,34043,35465,41115,41333,69978,54807,179065,148033
20174,20707,24135,28491,24815,53669,63385,89151,107899
42613,47346,56266,57651,55288,68029,139869,208923,130905
25000,24688,27209,26843,27527,31257,83944,39765,50939
26009,25130,24478,25577,29285,35859,37769,115080,85574
23887,27317,27919,31952,42905,45884,49052,57686,108504
24822,30725,33998,51225,47496,75605,71238,107854,83075
12829,13504,24820,24966,23274,28445,37204,59294,59209
14755,22082,17705,26216,60709,40364,78738,75370,58223
