8677,6340,52443,60173,69741,37718,60415
3313,10773,14967,7562,17351,7292,22728
986,13062,10753,12466,33272,142011,136736
13134,15411,20426,8098,5595,28485,166101
5220,2156,16003,11279,13555,53718,34789
8523,35118,11024,287,16941,82649,92383
3492,11534,23098,25947,37566,86972,124361
1320,5342,12110,4858,16068,20806,29737
436,9499,5185,16275,26736,46132,16833
5821,4825,4109,3497,17369,8289,30825
8279,15950,3223,9046,46133,134163,107091
10961,12997,26852,14283,50788,22544,264720
13465,12137,7767,14245,23783,13718,34602
6501,13284,5427,33579,3015,3138,125903
12648,13230,4990,27196,50331,53913,2040
6938,603,6906,13632,26868,215713,13836
2626,7129,9411,28693,29485,19109,16818
12033,15135,2362,25399,52175,309684,200388
5382,2667,12610,40504,5255,10269,36484
4226,4587,6446,2998,56744,13050,44488
5048,7189,4453,5078,12889,6810,18897
5600,9419,27258,6957,11721,20232,39141
838,959,28094,41863,10105,19483,52811
391,3507,27423,4194,9730,12795,2500
745,15211,7223,5900,43289,171922,221910
9920,6780,10504,15686,11702,28173,84719
534,2553,11367,3090,520,4132,9780
2472,6904,11854,7297,21459,122111,107995
16703,10924,13213,20967,14821,38884,201110
2041,4075,3069,40154,4609,13573,27086
3009,1528,14867,16830,4507,12437,176149
5509,2038,1865,1912,30741,8578,8129
5870,5529,7639,5107,36422,14250,229363
6696,4908,6506,6164,27413,29307,264782
9435,3556,3512,19770,21925,10055,98128
7201,18043,8057,14674,10072,37560,64969
4026,1164,58653,9672,18353,20840,66253
3876,3699,5594,353,8520,7930,24996
1406,2393,13808,45664,4046,16162,50960
3015,5635,11812,19989,45084,4093,11078
1946,9629,12770,17146,29412,6349,69677
11521,2807,4556,29345,7594,12803,115298
7779,6846,13668,8531,70906,9914,38359
2576,6516,6393,12391,6396,18836,31093
3621,7318,2578,16018,26695,22549,4503
3358,5913,1711,33016,8308,54205,43804
2037,3648,2722,11941,10541,19829,119829
1866,10202,3498,9754,17417,30538,332947
1904,3113,32950,26537,17426,12732,52353
4308,107,12370,7772,28437,1774,51717
7360,3093,1646,55532,10179,39291,52086
2306,2084,15332,3599,20957,4950,40140
301,1118,6606,26429,2924,7370,20263
4948,17586,4873,6582,5640,27338,42836
259,3524,10377,51027,757,79769,68751
14104,5097,6883,9999,11652,32178,182344
3833,11547,2056,5564,31297,73114,26047
4112,5875,2348,7826,2211,4082,7163
4190,13568,9869,18507,2437,41981,300294
944,3621,9139,18071,8831,3426,57439
9313,4996,3852,4869,29138,25736,80417
1783,887,17325,5703,27191,47039,90716
8348,15900,3323,8429,2501,2671,56690
3259,5377,3961,17410,17440,5884,240789
967,1482,6035,22530,29466,78098,140893
2757,5884,3551,19184,42915,25795,20829
538,3402,9792,56298,9237,41362,8258
7892,2613,8732,8850,10417,15830,18498
1860,21588,2856,1379,8848,5983,9527
13142,5117,7046,8943,86018,58834,73176
8917,8053,4749,8761,1059,2025,38906
3127,3893,11697,4853,28754,6990,10584
2743,6331,7386,1618,20961,171865,114454
1185,2428,2775,10104,37869,3802,17347
7275,6057,12406,2959,8868,4110,11716
5161,78,9966,31694,81619,37325,25292
7004,4588,9809,10791,30708,69801,115669
6645,19682,21276,31900,21198,39850,56655
2607,8185,1777,18074,39988,13528,45383
2268,1308,264,27598,23963,30904,22690
528,8575,3191,41492,63165,525,99385
5731,5353,4173,1462,2044,9322,24007
7117,4453,5652,6567,14095,37716,39427
5769,19956,2684,2811,24007,13359,12490
2715,7340,4381,19424,33294,126153,139763
4485,3469,2362,2604,7308,9345,131856
2198,7363,12817,5890,4182,16423,8679
3172,4181,13935,16149,17057,1980,8954
5742,5863,7278,36879,10199,20540,30054
9201,1299,8348,13910,7980,80139,326529
3743,3103,11834,7463,13380,27619,17668
6657,3989,1593,1391,10067,49377,32508
7363,9117,8279,8992,26357,5551,172227
2546,8845,807,27788,34920,59132,96137
8071,12289,1007,14031,10504,24048,18039
6529,13653,24014,61202,16223,9690,31797
2389,4431,1966,2087,6723,7777,38645
7398,5914,4919,39866,41339,30236,119099
1464,5838,2788,294,20634,9174,37764
4188,1643,10470,30073,10581,3707,12359
201,10457,10405,947,21801,4051,82672
4702,3671,7840,8610,16960,16665,71238
8204,3984,6424,7304,16101,3396,103217
7253,931,11478,20316,11366,23979,50293
5634,14026,7445,14807,15503,6922,65273
5473,3476,3579,13597,9735,1669,5005
5450,2940,8168,8814,25421,12302,25117
15463,6661,2230,5277,11120,231615,9816
127,4984,7397,2158,53885,30636,8332
1804,992,12201,6888,14278,75542,28744
11413,11836,9614,14645,4701,31619,97287
2521,6608,5874,4210,8674,4023,46071
3710,1738,7562,5706,1194,37785,29712
781,572,3534,5658,22511,15475,44167
803,959,9597,9301,16759,34779,749940
3727,2797,4205,29426,8428,139865,298770
173,12056,1724,18477,14462,153663,47687
8100,2695,2273,5373,5045,70,123653
732,3953,7080,13284,18102,7658,186440
11832,6395,994,7491,17224,33218,48933
4219,5461,3095,9983,17910,105242,7148
11401,9009,11153,6570,3036,8125,156256
241,3844,6479,4441,3950,6489,3789
7365,9061,4029,4055,2773,3137,13406
5750,4386,4239,3569,3374,59843,25921
7065,13159,9807,10166,44167,43481,490282
5938,3679,2619,8081,7538,29225,18928
201,255,18374,25854,11063,66629,47485
2928,10116,5682,14132,32401,29761,195511
1817,1787,2477,8909,2601,27154,14459
5704,9513,7513,19167,9608,5575,10085
8304,2569,6279,4484,19644,5685,118217
1005,14252,18042,26435,44078,35495,62739
7839,20399,21554,5289,35145,60692,108798
2364,3578,13896,5917,1753,10758,86160
1705,7119,2630,40652,3771,8695,85304
1198,3076,5125,16501,14794,11594,93753
4515,66,9942,7355,3697,10585,43734
8608,4212,711,6605,47167,6584,108341
4844,5461,17433,285,45487,4962,186687
2289,8362,379,6902,20153,6837,13644
5213,10972,70794,16304,117133,11996,13525
1004,8986,6087,14680,33426,18145,286749
6868,12132,1888,2743,1614,58241,52944
15789,9591,2149,2653,69702,13989,86670
1627,3827,3325,3244,5346,9635,21220
6398,4719,12579,5009,3913,5714,35731
8912,21504,26730,3917,1570,10919,91629
6613,13476,11055,41587,7956,8624,287820
3738,3298,2850,9902,11410,1885,32419
882,1054,23811,6085,42145,7677,195644
4243,6292,8874,10181,21738,57872,7389
12068,13180,5476,32178,14331,28454,245785
4060,12528,19841,68572,31176,56420,33754
3462,13024,3449,9247,13459,12819,35407
8192,5635,21237,33767,29267,1181,32974
402,14775,8776,13309,22231,23070,20842
3402,8269,12955,2413,7503,2678,161799
3465,2169,6358,36087,37608,87798,261806
4073,954,9711,985,10226,13276,27680
5170,6186,815,2513,26241,17588,193756
751,9994,21357,15164,1633,39687,58929
8020,3131,29729,18882,64629,62913,81020
5211,10218,18354,7166,7455,99758,92789
5876,127,6343,9078,27703,103461,32468
