9294,1573,21928
4751,2395,76955
12014,71978,267864
15942,707,5215
14683,7856,45360
21573,33213,54979
72914,1299,37041
33689,277460,283826
1966,30546,34957
40663,24327,92754
40963,27567,17411
45615,198612,218918
2807,35754,28101
64689,23921,22973
15761,69516,81726
28744,85875,46377
31101,662,1621
37887,9035,2520
504,67628,84427
8272,7403,56852
1514,27910,269725
117,20385,185937
46540,29949,364707
2407,40152,377
9698,36541,83407
14489,8536,17852
749,26657,157503
22079,11408,8319
74485,53477,17074
10123,300,4922
6003,2483,22361
310,102874,138871
3043,49550,103003
3233,109823,177880
1851,132222,178080
447,9992,79428
1463,4122,55470
4590,3402,31399
3973,48251,11103
8282,7390,41733
25224,32214,110739
9709,24033,68571
2380,2467,62203
7188,28797,33039
18929,2523,90842
4672,64455,35143
10201,224815,12257
9757,100659,488783
3301,15771,307802
7049,6880,22307
2531,147068,163246
3000,3954,26305
8709,9414,24797
29274,13027,3379
20080,5093,43512
9752,1959,9756
2814,124411,77513
813,71423,70257
19125,14945,2157
4148,50120,138150
1831,89914,14321
2000,25711,4049
31743,9231,32975
2263,6008,95034
8859,3254,11911
3085,11838,156674
18954,18737,4193
21675,1338,98405
8420,13043,52603
28951,17666,24481
30835,68821,18186
2176,24608,109619
16430,29669,11831
2311,42749,20902
2630,25680,33743
9932,37776,15742
5755,11031,46948
10752,8139,23954
8429,29405,3467
18391,26576,16856
14907,8757,61092
5225,3317,11021
23803,21819,351941
478,22429,19359
13267,4375,7069
1396,46151,9518
7302,78096,19963
15932,15450,116421
176,10299,17223
10207,790,303057
10261,17186,5357
1669,7750,36277
27417,2469,108360
3935,9035,22309
7307,11542,16649
11277,46675,29717
15504,6246,7423
8440,3454,175009
1213,139727,489568
9165,7120,47940
7389,11221,79584
5287,17091,14760
20957,3852,44336
32161,10025,272445
11866,8940,46915
6480,120711,21158
38600,34097,105043
17390,20389,14210
8523,45872,10493
40496,155255,217204
34059,51131,24825
6497,2231,29338
4347,5216,327710
1114,55815,52429
28373,8693,13074
6342,2766,54565
3478,14232,453820
147,269859,880379
16072,57625,212282
7950,27484,793200
4582,46670,102793
34862,11852,88448
6477,21257,46792
9718,8023,36405
2121,14282,44567
522,7576,62794
3014,20609,17333
32397,174190,190432
4856,6150,25643
206,2580,88208
8995,4072,110353
4660,81788,36400
9384,165703,8625
1456,5655,81442
1212,3644,259095
5938,10122,2152
7086,36315,195489
3195,27107,140182
27385,22269,22897
1128,156855,53959
2698,27377,69826
5098,29331,173743
23222,98342,163585
3475,1294,12238
9923,1189,6737
2148,84348,29008
39872,34819,43947
252,70478,141858
7077,53453,32866
943,6551,13242
3180,8164,102819
6306,13594,61415
9637,6547,1915
15467,149742,24580
2744,5851,411871
1228,7049,46635
4975,5843,19028
6152,37221,144801
890,2064,132468
3101,69627,32533
1579,36248,62268
687,21019,31130
11557,601,34546
4760,9096,47518
2006,18377,3653
28313,25540,229612
4369,8699,15532
54491,88591,34662
3095,165484,54013
3244,13723,50736
13089,56998,92485
59213,15430,146377
14597,20087,54131
14411,10208,4319
48675,7996,128225
8336,19823,102927
10202,9834,6091
23772,7788,20494
14268,6856,194757
710,20321,20875
7011,1074,86329
7001,79648,244061
47023,118312,107100
10956,3383,177909
9803,58786,26331
2107,10581,781
22187,46775,382339
4421,179402,53201
3814,7916,421231
249,24583,19624
5512,10781,11175
6804,3141,108730
836,152756,191971
4534,15687,93018
3621,10592,81070
13419,38886,96774
7552,24496,28134
2632,20373,39530
20569,9265,80194
11870,31996,173551
301,15971,68930
4710,84657,12535
7884,4624,57196
7139,58611,45955
10261,65056,251106
3531,24458,22974
2565,16782,21109
1967,6413,7272
9680,8416,6865
4422,30194,16542
647,39583,168849
4308,16283,13461
30144,198490,1313
2652,13937,13455
4677,2144,119847
5214,48849,141924
7923,24647,62893
2118,10908,6226
3462,12266,71771
7378,15459,20206
12613,1069,34416
16908,27971,111384
5296,28363,124488
7338,6730,4782
11806,18894,98996
2229,26694,241463
8624,10493,13658
21210,116232,33473
16710,55537,390244
5640,24937,29103
29180,462,14119
1820,5950,457581
4947,22278,12567
3562,11236,15770
21256,31003,2989
9370,27063,66812
2026,16705,20773
2444,1803,114292
6063,21110,52326
9751,6251,28720
21633,43205,380405
27587,60800,12319
1746,23096,2562
7420,22249,64960
1636,2015,392384
8012,64100,158624
1124,3684,461714
2959,13702,40975
13099,85868,535904
3165,80918,262450
42187,26995,57355
12082,30113,365128
7018,16642,97507
3545,22661,18602
1733,8136,44350
38417,87908,72187
9469,30451,1069
3407,89144,194965
6828,10896,2176
2812,5309,95545
22314,55754,22751
21881,18526,93979
5146,7224,45485
21671,34747,308955
8176,30607,290747
63740,5103,84824
14345,11983,124534
7334,27546,4074
16760,49390,36231
11949,49817,22266
8676,9404,40739
5853,2113,34391
37483,2359,135950
9926,50971,502894
3411,3227,62399
5245,58364,54309
1080,32941,84195
16693,54851,43867
20135,9229,69758
14676,30756,58422
6305,10120,20632
662,19780,88637
3036,2592,307626
5129,4239,789
2791,51034,199148
2495,12104,18273
19983,20205,103546
8723,10447,3402
36085,14754,7661
31853,17693,8426
10494,35348,127315
8565,8533,3860
9922,22820,28639
32794,6179,114707
7003,21944,141795
4595,13533,49290
30226,9419,61622
9376,23148,102140
25847,10354,130556
1830,43481,86866
10662,45473,14206
2109,15103,85813
