103,675,1224,11779,4925
2063,17010,14043,2680,9914
373,10223,4254,53180,198479
506,7935,23851,12229,37707
3225,4668,1736,32762,7056
867,6513,5029,9612,50208
3286,1668,235,8077,50123
2278,7031,4974,434,324082
1492,430,2210,11773,85681
2868,2706,11792,6367,25039
307,1472,5041,2285,66227
830,1281,565,3855,13988
867,3615,5687,1399,28377
791,758,23209,14211,3300
85,6043,1961,3555,107981
2010,14098,1580,12283,66633
693,2294,13591,1230,739
140,13783,5420,3690,65124
432,7553,6098,42916,37338
758,2112,17782,3227,24269
257,1530,8447,13983,20435
290,2166,19832,1180,17030
1426,14765,8268,22585,4997
155,4027,926,6426,22083
3034,3833,8037,299,1489
4777,678,15185,35719,27552
445,5757,3229,41339,68925
2285,1503,18605,670,20807
908,1242,7239,656,1744
1369,1750,7715,7233,36026
3263,4027,12819,13586,37622
3680,1551,1878,30591,82342
328,1402,1129,13045,105748
817,2479,15525,11404,2889
502,8548,283,4044,6386
2126,550,5557,3197,5349
541,361,22672,61241,215009
1832,388,9771,39382,11506
286,4996,94,6877,51373
2269,5060,6956,28199,26937
603,2317,716,146,6364
450,24507,1131,1349,3846
3447,1145,4917,14348,26914
2440,1901,6989,25378,47494
2921,6939,3805,3141,73699
2858,1494,3571,23033,10996
187,1319,22,7142,4059
404,3883,312,869,11931
346,1515,3368,217,494483
273,94,5208,35836,9239
359,3847,8059,9447,88971
223,3404,13354,20234,19275
3037,8050,8042,5019,4839
5735,4578,560,8094,9428
1810,3085,1306,24506,6410
2816,6459,447,2645,1746
719,2137,1126,8788,164025
1111,2710,2185,43482,8902
234,2335,2385,26466,192593
863,4412,2029,3550,3964
757,2420,10284,5962,21863
2462,5907,15137,7039,7636
697,591,15191,19057,108221
24,6633,12425,79462,95751
2010,3534,2609,120,194144
1027,538,16871,8348,2693
702,6220,9322,748,14585
7553,296,1112,573,9451
775,2669,80,5260,20344
704,1819,16856,41043,43203
4336,1962,6829,21133,3258
326,2505,2377,54077,1673
1684,3269,7289,1575,23928
934,117,2440,18681,29092
174,7468,3685,1627,19621
719,7189,9624,1519,15293
1741,3492,2437,14294,3175
941,1807,271,63908,9547
815,2057,5092,33010,25657
2653,1614,13890,5263,5712
1269,391,1611,17829,14690
833,4950,4767,2433,115988
732,2472,648,2825,20435
6079,3984,784,30749,18612
1181,11406,4737,14093,7856
1530,47,4927,4669,226236
966,67,4686,15999,131447
1008,744,5840,28571,25165
144,597,2938,1492,10767
658,2058,639,13143,13477
756,516,2635,20316,18017
467,5410,17088,62495,34355
207,804,380,17678,1547
1323,665,4483,14880,3714
304,1864,6336,76591,27405
3302,1044,5092,2551,8750
1626,401,3030,6887,48925
1200,4668,3268,27427,8997
1206,1833,2585,12576,6266
392,473,15131,9352,42837
2061,1428,1981,7599,47010
171,731,14749,4668,7223
2393,1844,4732,4416,818
2109,1415,776,1539,4248
803,5997,4737,109336,13515
8697,14303,8094,40168,45407
1620,4414,6324,5086,10418
1996,1902,1236,30753,1497
1503,909,1577,13584,17462
2009,336,1844,4103,17337
1226,553,3772,5063,20510
2342,205,184,5982,880
316,2345,6138,5385,1042
2363,6282,2061,488,4233
650,831,2571,1469,23745
341,1145,10363,9662,22942
781,170,19925,5562,57313
1472,449,1858,39892,17126
1198,1502,2318,3590,8767
1305,5127,2113,5433,22518
5760,14902,10070,13821,42312
1025,467,8172,11619,20893
271,1948,34893,1711,24253
2158,7646,3561,52618,102904
963,536,3865,25816,4230
220,1040,758,26063,102690
2503,65,654,10496,9874
183,5194,22885,9916,291
1772,868,3620,2549,2057
350,1779,499,3044,358081
2667,243,9646,13456,5182
674,618,5288,2666,7283
169,2085,1941,167,212003
277,3219,1787,7515,7132
210,4073,12337,19755,11653
460,227,687,11035,120836
3697,487,3545,5877,171653
370,1853,2161,63042,23553
2022,1172,3048,4364,557
329,2392,1813,5287,51635
5391,5605,1794,806,21757
12545,3577,15300,1151,146416
170,384,6990,1487,38569
87,458,584,8571,102211
225,2283,788,3171,13600
3327,1238,4992,22593,26245
1563,1351,595,11859,9433
1017,13532,1842,29866,11047
5157,330,13563,2610,18645
541,2591,11888,5271,89892
1476,3951,530,18174,134609
1016,1273,6166,13985,59920
1775,556,322,10208,42586
5658,12450,1915,18522,15529
1066,776,408,12549,4698
231,3251,1336,38090,51459
3658,667,6693,3139,1097
3669,475,6457,4382,18902
781,3756,1973,20938,4510
1522,3111,6410,2001,172
1799,2478,1525,383,265713
270,121,5841,28185,24004
1009,5901,1831,2715,13800
582,425,6819,223,1160
1827,4888,2696,5304,142024
530,4307,8380,1230,67511
758,2121,7447,2005,19875
2522,7642,2029,6123,349
2002,1462,2825,18016,3764
1368,2019,3246,1898,8016
1181,2487,2873,47872,48103
6691,256,10535,5012,19954
1500,3031,1214,641,18801
529,1537,7887,2851,27323
621,52,1886,21613,39992
62,2799,9,1418,14773
1113,5052,8593,23062,38882
698,89,1290,13990,2277
535,920,6650,4627,14377
5790,1116,16,9547,61701
911,530,4373,9168,40629
537,6224,6604,53322,11561
445,676,3088,64,1561
1216,18,5584,14265,14536
803,5771,11839,9880,131657
52,1795,7844,1840,168356
2409,331,508,14339,5990
946,3452,7779,12771,897
2572,2684,6138,6945,80324
743,2510,1572,24178,86614
577,4307,4160,19599,4062
49,3560,4156,14723,45615
2807,68,6836,13580,4142
590,5113,17484,590,2449
3170,8496,4543,14542,9888
2450,6568,55,351,219
672,5152,3054,93,1399
839,7369,1925,8471,19028
1655,563,151,16752,28368
171,1162,9940,18687,17526
321,626,256,4422,21517
54,2972,5545,4130,27287
96,1989,5139,10199,9453
1415,419,3598,9884,88394
781,3928,4724,9686,40931
101,7617,1716,3518,31143
725,2876,661,2105,64344
838,3681,2724,1245,10003
2645,4023,4791,2478,3573
10315,2065,896,5495,9534
6453,8186,11022,12629,17418
984,2050,6682,15338,22416
3090,978,4190,18160,120040
3394,629,10156,5048,22282
1358,3984,9386,3791,2315
394,713,1995,14366,30198
301,4498,4516,2372,17717
55,4092,3582,5135,139829
120,1829,14222,63506,131555
814,11246,9118,7420,9810
5050,294,3893,2333,201894
360,790,6656,712,7223
985,3741,5574,4251,12479
283,760,39333,43084,19064
3134,2585,482,3093,4446
8,5786,534,31166,55985
129,226,1208,5797,175382
292,497,2197,15929,8039
94,3728,1516,2355,1845
346,6245,1081,7402,138474
281,4050,16252,10794,17130
1158,512,2405,4788,17634
1452,187,2237,4735,23344
2466,5126,569,37720,86195
1828,422,4304,17117,4304
84,817,15276,4217,41816
204,4072,6866,12418,34787
5072,4991,6928,19615,18526
1456,8896,9583,24965,22939
1196,931,491,3778,45217
448,2229,1242,9402,14946
1321,3585,790,17542,24832
225,5100,9679,15070,18478
3182,2166,1989,15504,4648
1674,1541,717,4470,39847
4874,998,110,14144,2086
1394,8566,350,15638,30707
4383,14856,7294,32976,113765
1465,2395,7718,6223,2578
1814,4278,9420,832,86232
1149,122,7299,6584,2395
245,11854,33509,33944,33042
2068,2379,14333,2116,23238
3057,3858,537,4917,1805
541,45,3386,7238,39860
2077,5729,667,13050,46170
2478,700,254,4284,7428
1651,813,5118,1649,1326
2136,1160,11430,5962,5873
610,4344,1531,440,104045
875,660,1173,8673,27101
1425,2366,1063,5659,19748
2037,710,7217,3407,15404
2016,1671,13551,5903,17822
457,3394,4647,5513,41325
1205,605,13053,44877,120133
20,3387,2459,18190,40468
2759,10300,2468,6485,7412
827,31777,22786,7429,58851
2379,8902,4513,17938,21656
791,1341,7195,778,580
1650,1174,1083,869,7348
901,396,5176,785,201606
649,7421,16531,30590,14175
2372,1020,11930,48143,57209
1050,3448,8193,509,5898
181,1239,734,36,25340
203,2110,6396,3921,1271
1104,3576,425,11860,44575
366,1592,6767,66719,66849
2715,617,405,6713,23039
1657,2963,3878,202,98537
1827,532,8636,7088,19679
607,3297,5864,9390,8626
4108,4810,170,1274,47530
1140,1958,717,6647,1978
264,4757,1191,2252,44453
596,881,3489,3550,9246
675,1432,52506,671,41756
883,4248,3310,3613,14538
165,4784,12904,43415,17108
886,1086,2701,6731,66315
1625,2362,2970,5340,20489
837,1298,19692,108,323
417,2355,17638,29910,59874
421,614,3099,2473,33588
1142,5521,1610,557,31851
853,1621,2512,6757,40576
262,2892,6308,3822,1381
814,5716,21883,7395,15981
1863,529,1630,3373,5160
280,117,4258,45889,67063
1585,2715,1103,651,428
1520,35,1157,3493,18245
3776,361,4678,12245,7290
284,7615,6196,6731,4761
2863,575,3536,35110,82577
190,186,9232,17885,1377
460,1244,4939,27942,11614
1495,1251,2429,62326,3092
1391,3099,1708,4940,7959
259,1101,1795,10328,4675
3990,4419,713,9580,8766
17789,6459,2306,2491,28590
826,18,15070,6236,31543
1281,8951,124,2090,3152
442,1145,3133,343,166325
1048,870,33,6416,35006
1657,4116,5523,7322,31141
1728,15034,1688,5701,5970
2015,353,1514,1252,4430
585,39,8280,2112,25230
1441,4118,1190,9564,1548
799,356,4705,4507,44029
1161,9382,33542,3193,831
1833,1935,1403,1084,4108
751,3330,4311,22325,15032
944,2179,7412,41072,91640
259,5888,1038,6445,30642
752,2823,1227,21972,25654
376,2156,673,8795,5953
74,3322,11105,18305,4583
748,757,1528,7068,12521
4937,709,12743,2470,48031
347,4383,965,4399,26731
387,1768,4709,787,42348
865,7009,37371,36225,40608
3024,2450,7231,1244,12562
655,1194,4409,4219,9203
2203,5344,3651,19942,8920
942,3091,43813,822,225955
1704,3805,17277,691,3503
1460,524,5773,25466,29317
1236,425,3402,3829,6456
340,1913,3796,4470,16980
1424,4157,1479,9100,9587
795,979,495,16309,235488
4688,9312,1582,21156,1995
1582,323,117,33818,16509
430,1516,450,7674,15236
6994,9227,10136,217,31460
3433,4667,2252,34908,56585
159,2326,15887,8256,8329
2012,3826,272,10130,5876
1956,1515,23082,37977,12265
510,2515,2501,3620,221897
2126,2219,10021,8085,36494
93,1143,12243,59957,7588
2259,9259,2966,47365,30972
1127,540,2605,15807,61333
484,3209,626,7955,11378
2088,3998,2237,4258,38457
94,4851,4197,41713,82268
1837,2325,7253,811,153365
3052,2634,9629,23934,14319
1681,2522,1208,7904,10737
308,1469,3203,5624,56885
391,1001,5678,40307,187431
143,27,6628,10568,587
1245,540,256,27748,147912
2818,1848,2844,2654,41860
4644,1080,155,15374,2983
304,3006,1857,912,45199
777,3246,10040,2854,5949
3118,7238,6946,5232,1828
178,6352,3263,6090,3846
2556,2040,1847,4139,14389
304,2366,15064,2438,24060
2442,4052,158,577,7669
3661,510,1151,1364,5501
2948,5070,2997,3400,10182
71,3971,303,9939,116
2377,16289,39841,32700,10968
1066,477,1087,23268,40563
1816,5029,826,14911,16074
3580,5411,2702,5516,2673
144,373,447,2840,49372
2111,415,1874,4855,257150
954,12801,586,1361,24755
981,4843,23574,6089,63595
1956,5692,24395,47206,79557
1971,4039,5556,51210,107262
1202,518,844,439,16473
413,850,431,5970,9167
566,2132,6925,18353,11884
1039,346,1513,7117,69524
3328,8642,6642,4582,30668
976,9163,1352,10978,60590
2901,290,2251,3368,2988
544,6238,1813,22108,153310
362,2629,14273,14824,21767
51,3278,4394,11398,28895
819,1295,317,13295,37310
547,1683,620,22185,4669
217,290,1907,27401,141955
88,3720,4175,24717,34077
1557,8826,9458,12372,178144
1171,6117,11603,4680,8118
4133,1546,4111,24800,66049
4890,1436,4438,6427,22318
167,1881,1910,8501,1177
1028,36,2722,4585,7580
1057,1005,8494,15770,13518
1024,298,737,3492,6709
79,242,29818,1132,1606
89,11923,349,11681,64918
2200,509,6936,3209,8163
179,1088,2582,13980,420876
2130,1946,8085,3270,28087
591,591,1763,63,5944
2035,3551,2094,1756,11214
2235,245,964,1826,16522
4088,4755,6696,8029,3650
2544,1536,485,7010,12452
1007,5406,446,6997,12412
595,1152,2070,1248,35559
353,297,2659,37046,1760
716,2620,10749,57,4133
3661,2579,1254,2610,13285
658,19869,8011,32244,109223
556,427,1975,436,115285
1259,5571,2804,3439,13352
2568,7875,3256,11176,31604
335,2272,9371,73476,27622
48,846,179,15142,27363
983,3893,20109,16374,43452
3100,465,881,6310,108457
520,1309,5400,2295,46678
480,18750,7747,8593,29235
3531,1539,5247,16071,6764
828,1448,1525,4995,937
953,1700,5492,1623,53361
502,731,20850,1292,4490
889,3241,6538,573,32260
2950,4742,8512,144711,115968
1285,307,12100,5286,22527
288,1126,2850,13598,81238
3618,4904,10605,1756,21287
282,185,2480,6827,7463
1369,474,8107,27098,23283
1999,922,1626,3895,3269
4869,3811,12992,25527,8007
103,1170,7997,5784,37725
8,80,2571,6230,1123
1241,5528,20,12183,33304
849,12742,237,75,1783
658,1959,6464,29429,201557
2109,6186,8419,3743,6039
916,408,8839,51832,35608
552,3522,1586,1799,62321
1719,1613,4363,2366,8821
16,9,4889,6463,1898
13,11207,8866,4849,16866
63,3747,729,16568,46106
459,4330,3115,6348,7279
6233,5432,2213,72819,19525
170,4287,10354,212,47400
2308,781,4410,632,1466
571,517,9186,13749,113941
818,3822,15995,65562,2429
1040,6958,209,4448,2878
1636,7202,924,12702,37825
311,1655,3097,801,2326
4846,488,8605,44745,8732
115,467,8889,58071,44290
148,71,9829,5337,19840
2082,1263,12316,23244,10907
3720,3827,1031,2635,6278
2637,3378,7050,17654,15546
1566,4687,1555,4541,978
788,5316,28029,1027,5992
777,2376,7725,17644,2574
3330,9740,25,19307,1302
195,12524,11923,10651,66410
3038,879,2294,38727,83790
260,1950,654,311,16681
2865,815,1795,8148,3300
148,2022,43987,3867,13635
1945,1004,1821,23318,5837
1216,2111,2154,59,19955
2823,895,21976,90213,2687
45,1812,489,29653,71318
2030,12253,2638,6070,14268
854,887,1291,43313,87854
1283,605,3045,873,62847
79,6957,5676,12198,15859
2536,1810,2624,8593,28370
1876,1154,63,1560,65492
792,1246,10508,7817,7873
2087,3444,315,27613,22265
14160,7046,781,9151,29816
1790,2498,5571,38283,45035
1947,4212,10697,13103,68574
141,3270,448,30525,278861
549,1784,1163,2057,29656
407,1618,1429,20554,32675
11068,2770,3375,10329,36918
1822,626,3024,3067,46235
752,7328,7855,2023,471
3786,1169,23987,17986,42257
1351,4974,19921,15596,44908
1916,37,29,5481,31154
341,2769,40,6301,1873
3870,1134,21697,114229,33458
108,4356,3631,10836,9377
2458,2403,7431,20396,23363
2931,1893,2565,27056,37810
854,164,320,8903,279491
233,39,1995,3367,55276
621,206,8175,20020,14087
5377,2031,2708,15631,4517
1268,42,1958,30276,2309
154,1706,259,39932,994
514,4412,6927,2284,1616
32,18,3457,22182,49028
693,3961,4462,12459,7467
93,1534,10255,4693,5907
1530,2675,868,1934,11579
2590,776,10173,56355,5888
