7013,6086,59252,68087,57567,25730,54284
1121,8766,14317,5793,13062,4693,19621
316,11966,7424,13022,34389,157674,147684
5287,12742,21629,2825,3937,25141,181500
1365,727,8697,12608,11859,51595,31379
3927,35445,8568,89,14065,92394,86229
1104,3506,14817,28766,34786,82211,128710
379,3588,12812,4142,17457,21937,28039
113,2933,1527,17857,31001,37663,15559
4159,3830,3213,2298,14750,7487,35909
2963,4558,1075,4934,49363,146414,115078
3115,8171,8869,9951,58740,18338,273641
15126,8624,5583,9535,19740,8070,26744
1668,9479,3506,32966,658,2436,135212
5033,10996,3616,26111,42575,42893,587
2258,165,6388,5393,29616,222029,13375
868,2328,6767,33191,24563,16781,13242
4781,4830,863,18376,33323,319120,211634
1987,785,7992,46477,3211,7560,36182
1316,3001,1709,1742,63315,13695,37489
3781,4766,2715,3539,8410,6437,21226
1593,6678,23628,5609,12252,20319,42612
275,289,19908,33804,7272,15038,66094
120,2122,29323,4568,11277,11905,814
239,4486,3293,2026,43165,159268,249111
5904,4293,9595,12534,7850,20046,90192
323,2018,12219,2761,409,2880,8926
1118,2459,3424,2157,14499,95352,98918
6001,3636,4085,15257,13645,40361,196452
643,1436,1110,44007,4219,12573,30672
1191,503,16068,13535,4505,12733,198971
3504,1284,1255,664,35940,6269,6830
4105,4248,5209,3787,28370,10778,244018
2343,1424,4109,1779,26174,33139,299827
6264,1219,3468,21553,16588,5432,110701
2481,12327,7718,11119,10408,36398,73547
1080,401,64450,7180,18005,23057,70616
1184,2244,3652,103,8056,6594,26753
392,1894,11236,50661,2799,14510,57223
2370,3841,10821,15120,50294,2230,3596
566,7732,12836,13557,24741,5183,77501
4267,1508,1752,23203,4586,8103,120471
2882,2359,14998,6227,80360,9721,40352
792,6818,4421,11006,5866,20205,36344
2268,6539,868,13259,24605,25336,1457
1944,1788,1190,27231,5462,65213,44471
903,2802,1800,11979,11561,17381,126574
1416,9448,1118,6372,8604,27479,357872
482,968,35999,21251,17759,8294,63060
1209,29,13253,6756,25835,581,57467
4684,1270,580,57332,8825,34547,60990
1171,645,13364,4121,19187,2589,32555
82,673,2484,29461,3023,5992,18018
3338,19248,2431,7123,4496,25139,39356
79,1329,5185,46875,507,88763,71566
3465,3666,4087,8311,12529,30941,211972
1299,11980,1626,3804,20786,78476,22649
4496,5907,1511,8960,1741,1390,6290
3089,8833,9160,14146,723,41756,323785
324,1096,2533,17541,9419,2673,70542
3419,1286,1112,3726,25652,23417,93020
445,256,5426,1523,19908,51487,101291
6375,12782,928,6000,1582,1356,60986
1343,3454,1606,16754,11939,4294,281261
271,465,3534,17995,24226,76373,152615
662,3806,816,13656,47721,28497,14814
129,1105,10171,53006,3698,49289,6364
5545,1383,9248,7976,10387,9937,22112
515,25941,2027,1098,7088,3112,3013
4740,2639,5330,7347,86121,61080,88296
2726,8902,3791,3928,274,659,45476
1588,2522,8921,1608,32442,4945,6070
723,2303,2056,709,22466,167785,117649
347,1956,1832,9322,41926,2654,16671
6780,5492,8066,2569,6526,3498,8229
1774,20,6086,33288,93289,42828,15207
5152,2852,7007,12292,24555,77491,116511
4132,14637,17666,30679,22087,37777,61605
928,9107,455,18743,27975,8660,51216
951,419,77,28356,21230,23937,20360
154,5038,1060,48819,68279,181,107210
3549,5496,2623,477,1269,10951,23581
3624,2665,4982,5339,13841,31399,44238
3666,21584,2312,967,25814,8942,3445
1088,2861,1347,7572,24692,138673,148280
1668,2109,1538,1768,5021,10332,145429
720,6988,11429,3610,1227,14103,8279
2086,3258,9768,17792,18568,1276,8633
3473,3299,1935,40219,7415,14730,36389
2277,424,2893,15028,5914,82897,347416
2855,2966,11711,8677,10488,23298,15248
4067,2565,468,369,10279,55013,27380
2268,2853,6196,10065,24260,3509,148152
829,3812,313,22672,25276,66576,85921
2535,8916,378,10402,9608,24980,20061
2247,11813,28502,66238,11246,6794,24038
1698,4076,597,641,5445,5177,43511
2419,1791,2914,35498,35938,26319,130565
430,3321,1043,119,22983,7053,44279
2491,457,12671,34988,7972,1098,4232
63,5931,7056,283,16654,1174,93966
1270,1163,7752,6150,18914,10576,75825
2588,1662,3925,2108,17854,2419,117463
2932,293,4247,22643,13058,24331,56680
1770,15167,6003,11023,8758,5053,73360
5901,2192,2699,11960,7990,534,3677
3761,2208,5828,8965,23725,11943,27536
4437,3835,581,3840,9013,250810,8246
36,2931,8981,675,56997,29535,6119
730,305,13330,3680,15127,75697,24370
3562,4756,5509,9517,3397,30945,95624
2101,6076,3948,2671,5354,3741,49730
2154,1212,4218,3479,345,42411,26064
244,201,2636,4254,23700,15000,50271
263,321,7974,8555,15903,30408,917067
1023,1996,1160,26217,6135,150703,315327
49,3558,515,10036,8527,180641,41511
4682,740,1727,2180,2430,17,138730
196,3736,3754,8558,5596,5877,212099
4469,2253,299,4754,13134,30782,37703
1165,2284,1962,9362,17729,116774,4962
10561,3942,9406,4765,815,2153,177588
125,2650,7175,4639,3552,4464,2067
6905,9428,4199,2904,1548,990,14780
1597,2812,1734,3284,1167,64679,26932
1875,14604,2528,6309,32716,41038,568269
1879,2234,1434,5830,5668,34486,17556
58,81,17801,26401,9019,49517,37200
2023,3214,1441,8429,35173,21101,208963
1388,1935,674,6990,1205,30492,13622
4908,10398,6828,20109,7753,6402,9491
4971,720,2325,1375,21965,1646,134749
332,4391,18229,19266,54119,23803,44218
4627,14454,16781,3547,41417,60227,124165
653,2969,13054,2126,1329,10171,96054
471,4681,756,45449,2896,8943,85633
375,884,3210,16262,11289,9369,107770
4858,18,6969,6765,2894,5457,48035
3127,1338,217,3412,49122,6164,125023
1776,1766,16037,98,52629,3495,197895
875,6632,322,5657,22719,4816,12288
1790,9114,69997,11719,126377,3744,8235
354,2501,1892,5385,29369,5732,342153
2395,11005,482,779,1089,66459,57735
5028,3180,827,713,80533,12752,99278
864,2685,3148,2328,5053,8495,18192
4724,1710,14327,2745,1182,1836,39706
5253,17491,25553,2375,454,7853,97685
2387,4756,10651,36223,5811,4843,305901
2771,2415,834,7337,9335,522,32981
273,335,14311,5005,31943,5899,185210
2713,2268,8109,7716,19500,63030,4572
