0.498,0.34,0.063,0.1,353.0,
0.269,0.49,0.141,0.1,539.0,
0.38,0.404,0.115,0.1,341.0,
0.322,0.458,0.12,0.1,438.0,
0.417,0.381,0.102,0.1,403.0,
0.19,0.563,0.147,0.1,633.0,
0.321,0.432,0.147,0.1,780.0,
0.338,0.452,0.11,0.1,501.0,
0.239,0.517,0.144,0.1,789.0,
0.355,0.422,0.124,0.1,407.0,
0.223,0.531,0.145,0.1,883.0,
0.439,0.343,0.118,0.1,334.0,
0.445,0.352,0.102,0.1,327.0,
0.295,0.475,0.131,0.1,588.0,
0.312,0.469,0.119,0.1,554.0,
0.278,0.496,0.126,0.1,649.0,
0.371,0.404,0.124,0.1,349.0,
0.255,0.494,0.151,0.1,883.0,
0.346,0.43,0.124,0.1,556.0,
0.537,0.294,0.069,0.1,73.0,
0.283,0.487,0.13,0.1,613.0,
0.465,0.333,0.102,0.1,317.0,
0.283,0.476,0.141,0.1,547.0,
0.238,0.523,0.139,0.1,720.0,
0.303,0.477,0.12,0.1,543.0,
0.33,0.443,0.127,0.1,582.0,
0.452,0.333,0.114,0.1,245.0,
0.329,0.429,0.142,0.1,458.0,
0.263,0.487,0.15,0.1,816.0,
0.336,0.451,0.113,0.1,430.0,
0.277,0.499,0.125,0.1,643.0,
0.392,0.396,0.113,0.1,390.0,
0.319,0.457,0.124,0.1,614.0,
0.384,0.42,0.096,0.1,429.0,
0.454,0.337,0.11,0.1,270.0,
0.452,0.326,0.121,0.1,285.0,
0.272,0.508,0.12,0.1,682.0,
0.433,0.359,0.109,0.1,374.0,
0.321,0.452,0.127,0.1,512.0,
0.341,0.429,0.129,0.1,441.0,
0.346,0.441,0.114,0.1,512.0,
0.305,0.464,0.131,0.1,516.0,
0.288,0.476,0.135,0.1,830.0,
0.442,0.371,0.087,0.1,383.0,
0.439,0.38,0.082,0.1,341.0,
0.398,0.371,0.131,0.1,424.0,
0.643,0.209,0.048,0.1,144.0,
0.324,0.454,0.122,0.1,713.0,
0.286,0.46,0.155,0.1,871.0,
0.286,0.467,0.147,0.1,676.0,
0.542,0.256,0.102,0.1,291.0,
0.288,0.473,0.138,0.1,662.0,
0.324,0.45,0.126,0.1,617.0,
0.388,0.376,0.136,0.1,439.0,
0.265,0.48,0.155,0.1,601.0,
0.245,0.515,0.14,0.1,628.0,
0.39,0.396,0.115,0.1,395.0,
0.277,0.469,0.155,0.1,870.0,
0.228,0.534,0.138,0.1,541.0,
0.214,0.548,0.138,0.1,941.0,
0.49,0.307,0.103,0.1,411.0,
0.388,0.398,0.115,0.1,797.0,
0.249,0.509,0.142,0.1,798.0,
0.358,0.418,0.124,0.1,463.0,
0.463,0.3,0.137,0.1,250.0,
0.417,0.39,0.093,0.1,312.0,
0.386,0.408,0.106,0.1,368.0,
0.307,0.464,0.13,0.1,521.0,
0.351,0.433,0.116,0.1,374.0,
0.261,0.494,0.144,0.1,745.0,
0.306,0.481,0.113,0.1,581.0,
0.406,0.387,0.107,0.1,418.0,
0.204,0.548,0.148,0.1,858.0,
0.205,0.559,0.136,0.1,935.0,
0.296,0.465,0.139,0.1,657.0,
0.289,0.491,0.12,0.1,561.0,
0.462,0.35,0.088,0.1,382.0,
0.4,0.415,0.085,0.1,110.0,
0.192,0.551,0.157,0.1,1029.0,
0.334,0.411,0.155,0.1,573.0,
0.385,0.396,0.119,0.1,387.0,
0.3,0.48,0.12,0.1,699.0,
0.475,0.334,0.091,0.1,221.0,
0.216,0.537,0.146,0.1,906.0,
0.413,0.379,0.109,0.1,524.0,
0.311,0.454,0.134,0.1,550.0,
0.368,0.413,0.118,0.1,416.0,
0.407,0.393,0.1,0.1,298.0,
0.295,0.487,0.118,0.1,461.0,
0.24,0.529,0.131,0.1,593.0,
0.373,0.411,0.116,0.1,414.0,
