5799.341, 131510.621, 1.470, 13.793, 1202.241, 1209.467, 1280.175, 0.000, 1211.843, 0.000, 0.000, 895.615, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5799.786, 131462.189, 1.471, 12.824, 1199.908, 1208.963, 1274.439, 0.000, 1216.604, 0.000, 0.000, 899.872, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5785.316, 131481.872, 1.467, 16.899, 1202.307, 1202.377, 1274.721, 0.000, 1222.027, 0.000, 0.000, 883.884, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5783.975, 131462.206, 1.467, 12.283, 1200.679, 1202.884, 1277.606, 0.000, 1204.786, 0.000, 0.000, 898.020, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5829.022, 131469.933, 1.478, 12.769, 1201.031, 1205.379, 1316.146, 0.000, 1210.953, 0.000, 0.000, 895.513, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5865.686, 131466.075, 1.487, 13.128, 1206.214, 1217.670, 1280.022, 0.000, 1220.096, 0.000, 0.000, 941.684, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5778.696, 131506.163, 1.465, 12.811, 1199.788, 1210.258, 1277.793, 0.000, 1201.013, 0.000, 0.000, 889.844, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5787.193, 131460.625, 1.467, 13.237, 1203.828, 1205.294, 1281.063, 0.000, 1207.226, 0.000, 0.000, 889.782, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5796.841, 131491.999, 1.470, 12.085, 1198.688, 1208.926, 1292.202, 0.000, 1199.609, 0.000, 0.000, 897.416, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5790.640, 131461.905, 1.468, 13.850, 1200.071, 1216.061, 1277.945, 0.000, 1202.995, 0.000, 0.000, 893.568, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5830.540, 131497.112, 1.478, 13.076, 1233.652, 1217.122, 1289.487, 0.000, 1206.642, 0.000, 0.000, 883.637, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
5856.057, 131510.708, 1.484, 14.255, 1200.633, 1222.262, 1273.816, 0.000, 1217.108, 0.000, 0.000, 942.238, 0.000, 0.000, 0.000, 3, 3, 1, 0, 5, 0, 0, 23, 0, 0, 0
