0,-0.007,0.038,0.008,0.005,0.002,0.002,0,0.001,0.008,-0.05,0.009,0.012,0.002,0.002,0,0,0,0,0,0,0.162,0.111,0.167,0.104,0.02,0.056,0.006,0.014,0.025,0.122,0.066,0.05,0.026,0.009,0.005,0.005,0.001,0.004,-0.001,0.026,0.057,0.021,0.006,0.008,0.012,0.005,0.008,0.006,0.006,
0,0.027,0.046,0.004,0.016,0.011,0.002,0.002,-0.016,0.003,0,-0.009,0.002,0.001,0.005,0.003,0.003,0.001,0.003,0.001,0,0.148,-0.02,0.022,-0.043,0.015,-0.014,0.003,0.007,0,-0,0.107,0.019,0.013,-0.009,0.043,0.018,0.006,0.008,0.006,0,0.02,0.021,0.013,0.014,0.015,0.016,0.011,0.008,0.009,
0,-0.005,0.038,-0.042,0.01,-0.008,0.031,-0.007,-0.026,0.007,0,0.037,-0.017,0.006,0.007,0.009,0.008,-0.018,-0,-0.012,-0.002,0.047,0.075,0.012,0.036,0.023,-0.006,0.024,0.007,-0.022,0.023,0.031,0.011,0.006,0.009,0.014,0.018,0.019,0.017,0.015,0.007,0.073,0.093,0.068,0.014,0.04,0.027,0.029,0.024,0.023,
0,-0.131,-0.035,-0.042,0.11,-0.04,0.012,0.018,0.01,0.022,0,0.103,-0.353,0.08,0.002,0.022,0.013,0.006,0.021,0.008,0,0.039,-0.045,0.067,0.024,0.03,0.042,0.007,0.018,0.002,-0.054,0.071,0.036,0.024,0.02,0.016,0.014,0.012,0.015,0.007,0.027,0.014,0.014,0.021,0.016,0.013,0.011,0.009,0.008,0.007,
0,-0.001,0.001,-0.001,0.002,0,0.053,0,0,0,0,0.007,-0.008,-0,0.001,0,0,0.004,-0.002,-0.001,0,0.043,0.046,0.016,0.008,0.002,0.006,-0.001,0.029,0,0,0.068,0.063,0.028,-0.004,0.019,-0.011,0.011,-0.004,0.026,0.025,0.034,0.041,0.044,0.034,0.026,0.022,0.019,0.016,0.015,
0,0.012,0.008,0.008,0.003,0.004,0.002,0.002,0.002,0.001,0,0.025,0.01,0.015,0.03,0.01,-0.006,0.007,0.005,-0.01,0,0.102,0.07,-0.004,0.032,0.022,0.004,0.024,0.012,0.004,0,0.052,0.051,0.016,0.033,0.011,0.005,0.013,0.01,0.003,0.001,0.12,0.031,0.031,0.017,0.014,0.012,0.01,0.009,0.008,
0,0.003,0.022,-0.067,-0.021,0.007,0.01,-0.002,0.008,0.012,0,0.038,0.014,0.029,-0.005,0.012,-0.003,0.006,-0.001,0.005,0,0.026,-0.012,0.035,0.048,0.036,0.016,-0.024,0.009,0.001,0.291,0.039,0.017,0.015,0.019,-0.013,0.004,0.004,0.004,-0,0.112,-0.002,0.033,0.037,0.041,0.019,0.021,0.018,0.016,0.018,
0,0.133,0.044,0.004,0.015,-0.004,0.006,0.001,0.003,0.002,0,0.059,0.12,0.04,0.027,0.04,0.007,0.024,0.038,-0.005,0,0.029,-0.016,0.03,-0.006,-0.006,0.02,0.037,0.023,0.013,0,0.124,0.072,0.039,0.021,0.005,0.012,0.002,0.001,0,0,0.128,0.101,0.02,0.025,0.033,0.016,0.01,0.003,0.015,
0,0.031,0.009,0.001,-0.002,-0.01,0.005,0.001,-0.001,-0.001,0,0.005,0.011,-0.022,0.029,0.029,-0.005,0.007,0,-0.006,0,0.04,0.03,0.025,0.007,-0.003,-0.001,0.008,0.006,0,0,0.04,0.021,0.034,0.019,0.01,0.001,0.002,0.013,0.005,0,0.268,0.052,0.128,0.035,0.053,0.007,0.021,0.037,0.008,
0,-0.037,0.002,0,0,-0.003,0.001,0,0,0,0,0,0.017,0.005,0.006,-0.015,0.015,0.016,-0.037,0.005,0,0.028,0.034,0.021,0.017,0.008,0.01,0.015,0.02,0.008,-0.005,0.054,0.048,0.029,0.032,0.025,0.012,0.018,0.016,0.015,0.023,0.042,0.027,-0.001,0.015,0.066,0.072,0.063,0.056,0.05,
