0,0,0.002,-0.013,0.035,0.036,0.001,0.014,0.001,-0.005,0,0.051,0.024,0.035,0.008,0.016,0.011,0.002,0.031,-0.009,0,0.01,0.077,0.047,0.038,0.016,0.006,0.004,0.002,0.003,0.01,0.004,0.006,0.003,0.002,0.001,0.005,0.002,0.001,0,-0.033,0.064,0.085,-0.012,0.023,0.02,0.004,-0.003,-0.018,0.007,0.015,0.127,-0.009,0.024,0.019,0.021,0.006,0.008,0.008,0.011,0.005,0.11,0.157,0.105,0.112,0.098,0.031,0.034,0.029,0.038,
0,-0.013,-0.006,0.112,-0.265,-0.012,-0.049,0.008,0,-0.012,0,-0.022,0.19,-0.106,-0.048,-0,-0.014,0.001,-0.018,0.001,0,-0.074,-0.083,-0.006,-0.005,-0.022,0.002,-0,-0.012,-0.408,0,0.004,-0.063,-0.009,-0.016,0.061,0.127,0.083,-0.391,-0.27,0.002,0.01,0.001,0.003,0.012,0.002,0.003,0.005,0.005,0.005,0.011,0.025,-0.042,-0.007,0.041,0.005,0.002,0.011,0.006,0.006,-0.001,0.016,0.109,0.06,0.077,0.05,0.029,0.042,0.034,0.031,
0,-0.014,0.143,0.226,-0.032,-0.003,0.012,0.006,0.002,-0.589,0,-0.073,0.086,-0.116,-0.22,-0.023,0.008,-0.007,-0.001,-0.01,0.059,0.021,0.012,0.011,0.003,0.006,0.007,0.008,0.003,0.003,-0.005,-0.049,-0.138,0.046,-0.025,0.014,0.008,0.012,0.01,0.018,-0.03,0.074,0.018,0.023,0.044,0.017,0.013,0.01,0.015,0.002,-0.024,0.112,0.054,-0.012,0.027,0.025,0.022,0.009,-0.014,0.019,0.006,0.117,-0.009,0.006,0.092,0.107,0.019,0.033,0.051,0.065,
0,0.043,0.058,0.062,-0.016,-0.582,-0.278,-0.131,-0.018,-0.037,0.141,0.003,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0,0,0.074,-0.002,0.006,-0.025,-0.002,-0.002,-0.002,0.003,0,0,0.029,0.069,0.049,0.023,-0.007,-0.477,-0.45,-0.274,-0.128,0.231,-0.019,-0.001,0,0.01,0.003,0.002,0.001,0.001,0.003,-0.05,0.082,0.153,0.472,0.01,-0.003,0.014,-0.014,-0.013,-0.001,0.076,0.032,0.051,0.028,0.025,0.029,0.033,0.016,0.025,0.02,
0,0,-0,-0.041,-0.072,-0,-0.03,-0.01,0.011,-0.01,0,0.034,0.014,-0.02,-0.272,-0.023,-0.007,0.024,-0.007,0.002,0.103,0.407,0.046,0.009,0.016,-0.011,0.005,0.008,0.003,0.004,0.194,0.27,0.078,0.043,0.015,0.003,-0.008,0.006,-0.003,0.004,0,0.057,0.069,-0.073,0.04,-0.051,-0.065,-0.229,-0.086,0.012,0.121,-0.022,0.03,0.018,0.026,0.004,-0.023,0.016,0.015,0.004,0.024,0.056,0.029,0.026,0.029,0.017,0.028,0.007,0.028,0.019,
0,0.037,0,0,0.004,0,0,0,0,-0,0,-0.147,-0.094,-0.023,-0.034,-0.005,-0.033,-0.102,-0.009,-0.011,0,-0.012,-0.123,-0.035,-0.018,-0.034,-0.024,-0.023,-0.009,0.009,0,0.039,0.006,0.001,0.003,0.003,-0,0.005,-0,0.001,0,-0.076,-0.07,-0.081,0.016,-0.013,0.002,0.017,0.019,0.001,0.003,0.028,0.077,0.028,-0.007,0.028,0.034,0.003,0.011,-0.004,0.011,0.026,0.049,0.084,0.025,0.052,0.052,0.05,0.046,0.037,
0,-0.004,0.011,0.003,0.005,0.008,0.002,0.006,0.002,-0.042,0.066,0.008,0.004,-0.009,0.002,0.001,0.003,0.001,0.002,0.002,0,-0.047,0.06,0.046,0.056,0.012,0.01,0.031,0.027,0.002,0,0.079,0.056,0.07,0.005,0.007,0.016,0.001,0.014,0.005,0.013,0.081,-0.033,0.014,-0.073,0.014,0.001,-0.02,0.002,0.006,-0.018,0.028,-0.014,0.018,0.023,0.006,0.008,0.005,0.004,0.013,0.007,0.136,0.133,0.085,0.033,0.045,0.056,-0.001,0.038,0.04,
0,0.04,0.019,0.023,-0.008,-0.023,0.004,0.004,0,0.003,-0.048,0.123,0.067,0.007,-0.002,0.005,0.006,0.005,-0.002,0.002,0,-0.022,0.054,0.045,0.035,0.017,0.019,-0.004,0.012,-0.005,-0.003,0.06,0.03,0.001,0.015,0.012,0.005,0.012,0.003,0.001,0.002,0.081,0.115,0.032,0.017,0.016,0.011,0.01,0.012,0.002,0,0.133,-0.021,0.07,0.03,0.016,0.026,0.007,0.022,0.009,0.009,0.055,0.121,0.081,0.071,0.071,0.028,0.041,0.029,0.04,
0,-0.001,-0.003,-0,0.02,0.019,-0.041,0.024,0.005,0.004,0,-0.007,0.059,0.029,-0.035,0.013,0.019,0.008,-0.02,0.003,0,-0.091,0.039,0.031,0.055,0.023,0.02,0.016,0.005,0.006,0,0.075,0.074,0.094,0.09,0.014,0.03,0.03,0.016,0.017,0.095,0.005,0.005,0,-0,-0,-0,-0,-0,-0,0.181,0.082,0.069,0.02,0.011,0.004,0.003,0.002,-0,0,-0.013,0.259,0.221,0.2,0.086,0.057,0.028,0.037,0.012,-0.008,
0,0.011,0.015,-0.53,-0.162,0.008,0.001,0,-0.062,0.001,0,0.096,0.015,-0.022,0.119,0.009,0.006,-0.019,-0.137,-0.314,0,0.022,-0.131,0.03,0.007,-0.02,0.004,0.001,0.001,0.001,0.01,0.077,-0.268,-0.053,0.032,-0.021,0.025,0.001,0.009,0.004,0.008,0.184,-0.015,0.04,0.043,-0.029,0.024,0.001,0.029,0.022,0.028,0.108,0.135,0.023,0.037,0.031,0.035,0.039,0.034,0.013,-0.05,0.071,0.036,-0.021,0.076,0.099,0.131,0.086,0.093,0.004,
